elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.002204, 1.002204, 120511, 0, 8.4, 3, 7, 76, 163, 10831, 0
2.611878, 1.609674, 53845, 0, 9.6, 3, 7, 75, 2074, 13150, 0
3.334837, 0.722959, 60269, 1, 8.0, 3, 5, 60, 1927, 13150, 0
4.059215, 0.724378, 84994, 0, 7.9, 3, 4, 44, 1475, 130328, 0
5.240396, 1.181181, 61749, 1, 7.2, 3, 5, 50, 1512, 4360, 0
6.033253, 0.792857, 76704, 0, 6.6, 3, 5, 48, 1423, 6823, 0
7.002095, 0.968842, 80127, 0, 5.8, 2, 4, 46, 1277, 7970, 0
8.005075, 1.00298, 84889, 0, 6.0, 2, 4, 40, 1340, 18231, 0
9.130214, 1.125139, 54879, 1, 7.1, 3, 5, 62, 1472, 31594, 0
10.006035, 0.875821, 73945, 0, 7.8, 3, 5, 64, 1606, 31594, 0
11.004104, 0.998069, 73161, 0, 6.9, 3, 5, 56, 1533, 4475, 0
12.003665, 0.999561, 101531, 1, 5.6, 2, 4, 33, 1247, 18183, 0
13.318447, 1.314782, 81645, 0, 13.6, 3, 4, 45, 1308, 619836, 0
14.332742, 1.014295, 86831, 1, 13.2, 3, 4, 41, 1382, 619836, 0
15.449751, 1.117009, 73326, 1, 5.8, 3, 5, 34, 1325, 11000, 0
16.524054, 1.074303, 63143, 1, 11.2, 3, 5, 38, 1593, 419642, 0
17.490163, 0.966109, 58601, 1, 7.6, 3, 5, 49, 1728, 2757, 0
18.427436, 0.937273, 72411, 0, 13.5, 3, 5, 53, 1511, 588921, 0
19.388308, 0.960872, 77077, 0, 11.7, 3, 5, 46, 1267, 588921, 0
20.412586, 1.024278, 82102, 0, 11.5, 3, 4, 28, 1364, 551712, 0
21.531389, 1.118803, 100006, 0, 11.0, 3, 4, 37, 1309, 551712, 0
22.772978, 1.241589, 101963, 0, 10.8, 3, 4, 34, 1211, 667502, 0
23.880102, 1.107124, 66734, 1, 12.1, 3, 5, 47, 1458, 667502, 0
24.8838, 1.003698, 54537, 1, 7.0, 3, 5, 57, 1575, 8416, 0
25.685155, 0.801355, 63821, 0, 6.6, 3, 5, 54, 1475, 14473, 0
26.659839, 0.974684, 89796, 0, 5.9, 3, 4, 36, 1268, 25686, 0
27.596395, 0.936556, 77302, 0, 6.2, 3, 4, 36, 1257, 25686, 0
28.595963, 0.999568, 64348, 0, 6.9, 3, 5, 44, 1325, 58545, 0
29.739822, 1.143859, 91889, 0, 10.9, 3, 5, 40, 1407, 494428, 0
30.660352, 0.92053, 81549, 0, 5.5, 3, 4, 31, 1190, 28080, 0
31.664674, 1.004322, 68219, 0, 6.0, 3, 4, 40, 1259, 17086, 0
32.562959, 0.898285, 47221, 1, 7.4, 3, 5, 55, 1473, 27741, 0
33.512665, 0.949706, 63825, 0, 7.4, 3, 5, 55, 1543, 27741, 0
34.331243, 0.818578, 70946, 1, 6.0, 3, 5, 39, 1362, 20315, 0
35.214731, 0.883488, 64136, 0, 10.7, 3, 5, 38, 1355, 390284, 0
36.120615, 0.905884, 95476, 0, 9.0, 3, 5, 44, 1392, 390284, 0
37.43717, 1.316555, 81181, 0, 5.8, 3, 4, 39, 1232, 24198, 0
38.462154, 1.024984, 72014, 0, 5.9, 3, 4, 34, 1306, 5816, 0
39.478671, 1.016517, 67544, 0, 6.6, 3, 5, 49, 1423, 26491, 0
40.513545, 1.034874, 76626, 0, 6.4, 3, 5, 50, 1422, 2367, 0
41.470503, 0.956958, 76334, 0, 6.0, 3, 5, 40, 1318, 9269, 0
42.466873, 0.99637, 73448, 0, 6.6, 3, 5, 41, 1377, 27503, 0
43.466852, 0.999979, 73548, 1, 12.4, 3, 5, 55, 1390, 536669, 0
44.520032, 1.05318, 77948, 0, 12.6, 3, 5, 51, 1469, 536669, 0
45.517383, 0.997351, 80253, 1, 5.9, 3, 4, 27, 1346, 26011, 0
46.728809, 1.211426, 95496, 0, 5.4, 3, 4, 31, 1262, 2244, 0
47.636321, 0.907512, 62495, 0, 7.0, 3, 5, 45, 1471, 16630, 0
48.947624, 1.311303, 105483, 0, 6.3, 3, 5, 36, 1443, 29332, 0
49.932566, 0.984942, 61532, 0, 6.8, 3, 5, 35, 1451, 29332, 0
50.836675, 0.904109, 60042, 0, 6.8, 3, 5, 43, 1506, 23941, 0
51.754202, 0.917527, 67678, 0, 10.3, 3, 5, 55, 1492, 388003, 0
52.674505, 0.920303, 72843, 1, 9.7, 3, 5, 45, 1374, 388003, 0
53.55998, 0.885475, 65149, 0, 5.4, 3, 4, 26, 1185, 8810, 0
54.752772, 1.192792, 94068, 0, 5.7, 3, 4, 30, 1197, 22859, 0
55.692442, 0.93967, 56889, 0, 7.1, 3, 5, 47, 1470, 29048, 0
56.500844, 0.808402, 54236, 1, 7.9, 3, 5, 57, 1570, 29048, 0
57.541802, 1.040958, 77332, 0, 11.6, 3, 5, 55, 1479, 452687, 0
58.559641, 1.017839, 79043, 0, 5.4, 3, 4, 38, 1200, 2064, 0
59.632201, 1.07256, 79793, 0, 6.0, 3, 5, 37, 1353, 9784, 0
60.689699, 1.057498, 72318, 0, 6.6, 3, 5, 46, 1407, 6666, 0
61.620135, 0.930436, 73807, 0, 5.8, 3, 5, 36, 155, 7360, 0
