elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.002204, 1.002204, 151947, 7, 70.4, 65, 100, 132, 3537, 7728, 0
2.611878, 1.609674, 56013, 7, 67.1, 61, 97, 127, 3256, 7402, 0
3.334837, 0.722959, 60663, 10, 47.4, 35, 84, 102, 2359, 8466, 0
4.059215, 0.724378, 88788, 0, 34.9, 27, 53, 78, 1511, 17282, 0
5.240396, 1.181181, 61041, 5, 47.4, 38, 76, 96, 1601, 33388, 0
6.033253, 0.792857, 76043, 5, 53.6, 44, 70, 93, 1469, 462092, 0
7.002095, 0.968842, 77993, 10, 41.4, 35, 64, 81, 1402, 30383, 0
8.005075, 1.00298, 81490, 10, 46.7, 41, 71, 93, 1589, 6257, 0
9.130214, 1.125139, 56037, 0, 64.3, 54, 86, 114, 1733, 444681, 0
10.006035, 0.875821, 72076, 0, 57.4, 51, 83, 110, 1745, 10432, 0
11.004104, 0.998069, 84212, 12, 45.6, 35, 64, 82, 1457, 392000, 0
12.003665, 0.999561, 109443, 10, 38.8, 30, 53, 68, 1356, 447305, 0
13.318447, 1.314782, 80425, 0, 45.1, 39, 68, 88, 1506, 31092, 0
14.332742, 1.014295, 84769, 13, 42.7, 37, 62, 82, 1474, 30650, 0
15.449751, 1.117009, 64219, 13, 44.9, 34, 56, 75, 1553, 651679, 0
16.524054, 1.074303, 61358, 2, 50.2, 36, 65, 87, 1935, 651679, 0
17.490163, 0.966109, 61800, 2, 52.8, 41, 71, 94, 1918, 342187, 0
18.427436, 0.937273, 79260, 8, 53.2, 44, 75, 97, 1699, 342187, 0
19.388308, 0.960872, 76376, 8, 47.3, 38, 68, 88, 1493, 420910, 0
20.412586, 1.024278, 88423, 0, 42.1, 32, 59, 77, 1438, 420910, 0
21.531389, 1.118803, 100088, 0, 41.4, 35, 62, 81, 1388, 48285, 0
22.772978, 1.241589, 75292, 13, 44.7, 38, 67, 86, 1561, 26534, 0
23.880102, 1.107124, 64408, 12, 56.0, 49, 80, 104, 1798, 32056, 0
24.8838, 1.003698, 57988, 12, 55.7, 49, 81, 103, 1759, 32056, 0
25.685155, 0.801355, 82824, 0, 49.0, 41, 76, 96, 1618, 32056, 0
26.659839, 0.974684, 77235, 12, 40.9, 35, 57, 76, 1415, 21824, 0
27.596395, 0.936556, 73014, 2, 47.3, 42, 68, 90, 1450, 32484, 0
28.595963, 0.999568, 81219, 2, 46.3, 41, 68, 88, 1498, 32484, 0
29.739822, 1.143859, 82140, 0, 39.0, 34, 60, 79, 1366, 2230, 0
30.660352, 0.92053, 76975, 7, 41.3, 35, 62, 80, 1432, 11153, 0
31.664674, 1.004322, 57989, 13, 52.4, 47, 73, 98, 1620, 26172, 0
32.562959, 0.898285, 64001, 1, 54.5, 49, 78, 102, 1715, 26172, 0
33.512665, 0.949706, 62497, 1, 49.0, 43, 76, 96, 1683, 8058, 0
34.331243, 0.818578, 67420, 12, 41.0, 36, 60, 78, 1492, 8058, 0
35.214731, 0.883488, 66008, 12, 45.1, 39, 68, 88, 1549, 9265, 0
36.120615, 0.905884, 105757, 0, 47.7, 42, 69, 90, 1510, 9449, 0
37.43717, 1.316555, 75385, 0, 42.2, 37, 63, 81, 1377, 22350, 0
38.462154, 1.024984, 71368, 8, 41.1, 35, 61, 79, 1489, 22350, 0
39.478671, 1.016517, 76785, 8, 53.8, 44, 73, 95, 1582, 598273, 0
40.513545, 1.034874, 73267, 8, 53.6, 44, 71, 93, 1570, 598273, 0
41.470503, 0.956958, 73124, 8, 42.9, 37, 62, 83, 1536, 16417, 0
42.466873, 0.99637, 69353, 13, 45.4, 39, 68, 88, 1580, 14658, 0
43.466852, 0.999979, 76998, 7, 53.6, 48, 76, 101, 1644, 33555, 0
44.520032, 1.05318, 77007, 7, 45.6, 38, 72, 92, 1542, 33555, 0
45.517383, 0.997351, 99244, 0, 35.6, 30, 53, 70, 1408, 25695, 0
46.728809, 1.211426, 62728, 14, 55.3, 42, 72, 92, 1578, 587100, 0
47.636321, 0.907512, 96678, 0, 49.1, 38, 68, 88, 1582, 587100, 0
48.947624, 1.311303, 69793, 5, 40.6, 34, 59, 78, 1560, 18645, 0
49.932566, 0.984942, 60593, 5, 42.9, 37, 64, 84, 1653, 9486, 0
50.836675, 0.904109, 60153, 13, 59.0, 46, 79, 103, 1778, 522488, 0
51.754202, 0.917527, 68888, 13, 55.9, 43, 75, 97, 1628, 522488, 0
52.674505, 0.920303, 77300, 0, 40.1, 30, 52, 69, 1401, 377445, 0
53.55998, 0.885475, 91431, 0, 38.2, 30, 51, 68, 1406, 377445, 0
54.752772, 1.192792, 60454, 1, 46.5, 40, 71, 91, 1542, 30379, 0
55.692442, 0.93967, 55846, 14, 53.5, 46, 77, 101, 1765, 21269, 0
