elapsed, window, total, successful, failed
1.002204, 1.002204, 272458, 272458, 0
2.611878, 1.609674, 109858, 109858, 0
3.334837, 0.722959, 120932, 120932, 0
4.059215, 0.724378, 173782, 173782, 0
5.240396, 1.181181, 122790, 122790, 0
6.033253, 0.792857, 152747, 152747, 0
7.002095, 0.968842, 158120, 158120, 0
8.005075, 1.00298, 166379, 166379, 0
9.130214, 1.125139, 110916, 110916, 0
10.006035, 0.875821, 146021, 146021, 0
11.004104, 0.998069, 157373, 157373, 0
12.003665, 0.999561, 210974, 210974, 0
13.318447, 1.314782, 162070, 162070, 0
14.332742, 1.014295, 171600, 171600, 0
15.449751, 1.117009, 137545, 137545, 0
16.524054, 1.074303, 124501, 124501, 0
17.490163, 0.966109, 120401, 120401, 0
18.427436, 0.937273, 151671, 151671, 0
19.388308, 0.960872, 153453, 153453, 0
20.412586, 1.024278, 170525, 170525, 0
21.531389, 1.118803, 200094, 200094, 0
22.772978, 1.241589, 177255, 177255, 0
23.880102, 1.107124, 131142, 131142, 0
24.8838, 1.003698, 112525, 112525, 0
25.685155, 0.801355, 146645, 146645, 0
26.659839, 0.974684, 167031, 167031, 0
27.596395, 0.936556, 150316, 150316, 0
28.595963, 0.999568, 145567, 145567, 0
29.739822, 1.143859, 174029, 174029, 0
30.660352, 0.92053, 158524, 158524, 0
31.664674, 1.004322, 126208, 126208, 0
32.562959, 0.898285, 111222, 111222, 0
33.512665, 0.949706, 126322, 126322, 0
34.331243, 0.818578, 138366, 138366, 0
35.214731, 0.883488, 130144, 130144, 0
36.120615, 0.905884, 201233, 201233, 0
37.43717, 1.316555, 156566, 156566, 0
38.462154, 1.024984, 143382, 143382, 0
39.478671, 1.016517, 144329, 144329, 0
40.513545, 1.034874, 149893, 149893, 0
41.470503, 0.956958, 149458, 149458, 0
42.466873, 0.99637, 142801, 142801, 0
43.466852, 0.999979, 150546, 150546, 0
44.520032, 1.05318, 154955, 154955, 0
45.517383, 0.997351, 179497, 179497, 0
46.728809, 1.211426, 158224, 158224, 0
47.636321, 0.907512, 159173, 159173, 0
48.947624, 1.311303, 175276, 175276, 0
49.932566, 0.984942, 122125, 122125, 0
50.836675, 0.904109, 120195, 120195, 0
51.754202, 0.917527, 136566, 136566, 0
52.674505, 0.920303, 150143, 150143, 0
53.55998, 0.885475, 156580, 156580, 0
54.752772, 1.192792, 154522, 154522, 0
55.692442, 0.93967, 112735, 112735, 0
56.500844, 0.808402, 125648, 125648, 0
57.541802, 1.040958, 162081, 162081, 0
58.559641, 1.017839, 155454, 155454, 0
59.632201, 1.07256, 155856, 155856, 0
60.689699, 1.057498, 141351, 141351, 0
61.620135, 0.930436, 161409, 161409, 0
62.670678, 1.050543, 158641, 158641, 0
63.538688, 0.86801, 129595, 129595, 0
64.637219, 1.098531, 158656, 158656, 0
65.700727, 1.063508, 122121, 122121, 0
66.442436, 0.741709, 106834, 106834, 0
67.297372, 0.854936, 113584, 113584, 0
68.070159, 0.772787, 129183, 129183, 0
69.011785, 0.941626, 142239, 142239, 0
70.004261, 0.992476, 174151, 174151, 0
71.048837, 1.044576, 167149, 167149, 0
72.196692, 1.147855, 131554, 131554, 0
73.093926, 0.897234, 175589, 175589, 0
74.229955, 1.136029, 150864, 150864, 0
75.179197, 0.949242, 139208, 139208, 0
76.090558, 0.911361, 126520, 126520, 0
77.143792, 1.053234, 68840, 68840, 0
78.005624, 0.861832, 138762, 138762, 0
79.002423, 0.996799, 184599, 184599, 0
80.00388, 1.001457, 185352, 185352, 0
81.237198, 1.233318, 133089, 133089, 0
82.0878, 0.850602, 154879, 154879, 0
83.109768, 1.021968, 178513, 178513, 0
84.320456, 1.210688, 114153, 114153, 0
85.134532, 0.814076, 114150, 114150, 0
86.004246, 0.869714, 189899, 189899, 0
87.205462, 1.201216, 161024, 161024, 0
88.24564, 1.040178, 144501, 144501, 0
89.163511, 0.917871, 133629, 133629, 0
90.029023, 0.865512, 142304, 142304, 0
91.036378, 1.007355, 141581, 141581, 0
92.003622, 0.967244, 159433, 159433, 0
93.061398, 1.057776, 137559, 137559, 0
94.096239, 1.034841, 115430, 115430, 0
95.001928, 0.905689, 140880, 140880, 0
96.003117, 1.001189, 199471, 199471, 0
97.135458, 1.132341, 140263, 140263, 0
98.045232, 0.909774, 181494, 181494, 0
99.383876, 1.338644, 137172, 137172, 0
100.258498, 0.874622, 139190, 139190, 0
101.192772, 0.934274, 134049, 134049, 0
102.134574, 0.941802, 129172, 129172, 0
103.004826, 0.870252, 162720, 162720, 0
104.197933, 1.193107, 121574, 121574, 0
105.005059, 0.807126, 184288, 184288, 0
106.004973, 0.999914, 165018, 165018, 0
107.146914, 1.141941, 109174, 109174, 0
108.004764, 0.85785, 160361, 160361, 0
109.010462, 1.005698, 157984, 157984, 0
110.093757, 1.083295, 164654, 164654, 0
111.175963, 1.082206, 127753, 127753, 0
112.14986, 0.973897, 121555, 121555, 0
113.004442, 0.854582, 188880, 188880, 0
114.093479, 1.089037, 226524, 226524, 0
115.530055, 1.436576, 145519, 145519, 0
116.642793, 1.112738, 122681, 122681, 0
117.61507, 0.972277, 146300, 146300, 0
118.58215, 0.96708, 167708, 167708, 0
119.64208, 1.05993, 147499, 147499, 0
120.533736, 0.891656, 130563, 130563, 0
121.458293, 0.924557, 152953, 152953, 0
122.436394, 0.978101, 163407, 163407, 0
123.588576, 1.152182, 171730, 171730, 0
124.718593, 1.130017, 136535, 136535, 0
125.48724, 0.768647, 143168, 143168, 0
126.556928, 1.069688, 174069, 174069, 0
127.771303, 1.214375, 134362, 134362, 0
128.582755, 0.811452, 114913, 114913, 0
129.521079, 0.938324, 150696, 150696, 0
130.432982, 0.911903, 165050, 165050, 0
131.501882, 1.0689, 157139, 157139, 0
132.48252, 0.980638, 168992, 168992, 0
133.829877, 1.347357, 142587, 142587, 0
134.762956, 0.933079, 107256, 107256, 0
135.43449, 0.671534, 121742, 121742, 0
136.269159, 0.834669, 139970, 139970, 0
137.196951, 0.927792, 120412, 120412, 0
138.008904, 0.811953, 126983, 126983, 0
139.02091, 1.012006, 133890, 133890, 0
140.005416, 0.984506, 169212, 169212, 0
141.004664, 0.999248, 182910, 182910, 0
142.371416, 1.366752, 106835, 106835, 0
143.208957, 0.837541, 94342, 94342, 0
144.006024, 0.797067, 144796, 144796, 0
145.004515, 0.998491, 198759, 198759, 0
146.076707, 1.072192, 171183, 171183, 0
147.364048, 1.287341, 122807, 122807, 0
148.202392, 0.838344, 126469, 126469, 0
149.01491, 0.812518, 177322, 177322, 0
150.124614, 1.109704, 184973, 184973, 0
151.461026, 1.336412, 147835, 147835, 0
152.427948, 0.966922, 148308, 148308, 0
153.395512, 0.967564, 151137, 151137, 0
154.358458, 0.962946, 158713, 158713, 0
155.346994, 0.988536, 169256, 169256, 0
156.481625, 1.134631, 154500, 154500, 0
157.545236, 1.063611, 156703, 156703, 0
158.612808, 1.067572, 164434, 164434, 0
159.643648, 1.03084, 155561, 155561, 0
160.696752, 1.053104, 138654, 138654, 0
161.578834, 0.882082, 141628, 141628, 0
162.753975, 1.175141, 154471, 154471, 0
163.6177, 0.863725, 167296, 167296, 0
164.728493, 1.110793, 154370, 154370, 0
165.64722, 0.918727, 129963, 129963, 0
166.591386, 0.944166, 143625, 143625, 0
167.654759, 1.063373, 164902, 164902, 0
168.802788, 1.148029, 148905, 148905, 0
169.698044, 0.895256, 129624, 129624, 0
170.717075, 1.019031, 144048, 144048, 0
171.537131, 0.820056, 138073, 138073, 0
172.556584, 1.019453, 171312, 171312, 0
173.713736, 1.157152, 183026, 183026, 0
174.848603, 1.134867, 128190, 128190, 0
175.727533, 0.87893, 122069, 122069, 0
176.556389, 0.828856, 154755, 154755, 0
177.663731, 1.107342, 154208, 154208, 0
178.500112, 0.836381, 133989, 133989, 0
179.60272, 1.102608, 152804, 152804, 0
180.658111, 1.055391, 144184, 144184, 0
181.673676, 1.015565, 35478, 35478, 0
182.193259, 0.519583, 0, 0, 0
