elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.001216, 1.001216, 137299, 0, 20.8, 10, 57, 96, 243, 6425, 0
2.699468, 1.698252, 46019, 0, 22.8, 10, 60, 90, 2178, 18060, 0
3.651418, 0.95195, 42810, 0, 14.8, 6, 28, 69, 2176, 18060, 0
4.482762, 0.831344, 44997, 0, 16.5, 10, 32, 76, 2159, 12612, 0
5.3479, 0.865138, 58414, 0, 17.7, 10, 31, 77, 2179, 21187, 0
6.470238, 1.122338, 49386, 4, 19.5, 10, 32, 78, 2243, 28683, 0
7.421437, 0.951199, 50248, 0, 19.4, 10, 36, 84, 2218, 26306, 0
8.399353, 0.977916, 45769, 5, 19.2, 10, 37, 88, 2243, 13869, 0
9.291867, 0.892514, 50960, 5, 19.7, 10, 37, 86, 2267, 26548, 0
10.329694, 1.037827, 37787, 5, 20.1, 10, 47, 88, 2304, 26548, 0
11.346592, 1.016898, 41188, 0, 21.0, 9, 55, 92, 2538, 22674, 0
12.223748, 0.877156, 41643, 0, 21.4, 10, 49, 92, 2381, 22674, 0
13.076199, 0.852451, 41898, 0, 21.3, 11, 45, 90, 2305, 24402, 0
14.003968, 0.927769, 40966, 0, 22.3, 11, 46, 91, 2345, 27457, 0
15.005158, 1.00119, 52021, 5, 21.8, 11, 46, 93, 2393, 27457, 0
16.005269, 1.000111, 50584, 5, 18.7, 11, 35, 87, 2296, 4419, 0
17.001609, 0.99634, 55579, 5, 24.2, 11, 35, 89, 2318, 397390, 0
18.002836, 1.001227, 49561, 5, 25.1, 11, 39, 90, 2280, 397390, 0
19.003972, 1.001136, 46235, 0, 19.4, 11, 36, 85, 2280, 27470, 0
20.004139, 1.000167, 41999, 0, 22.3, 11, 56, 102, 2354, 27470, 0
21.003507, 0.999368, 39713, 5, 25.9, 10, 74, 134, 2505, 14119, 0
22.005928, 1.002421, 46495, 5, 20.4, 10, 47, 92, 2396, 8643, 0
23.005991, 1.000063, 60234, 0, 20.8, 10, 51, 96, 2367, 26199, 0
24.010756, 1.004765, 40942, 5, 29.7, 11, 55, 98, 2421, 545328, 0
25.003758, 0.993002, 38671, 0, 30.7, 10, 52, 94, 2575, 545328, 0
26.00283, 0.999072, 48068, 5, 22.0, 10, 47, 91, 2712, 11025, 0
27.003294, 1.000464, 49017, 0, 19.9, 11, 38, 85, 4403, 8729, 0
28.002835, 0.999541, 46510, 5, 21.5, 10, 49, 95, 2465, 12218, 0
29.003037, 1.000202, 51464, 5, 28.7, 11, 54, 99, 2329, 442734, 0
30.003277, 1.00024, 45850, 0, 21.9, 11, 50, 99, 2405, 24462, 0
31.001979, 0.998702, 38415, 0, 28.3, 10, 49, 99, 2553, 447909, 0
32.004956, 1.002977, 38828, 0, 22.6, 10, 59, 101, 2632, 23659, 0
33.006115, 1.001159, 48312, 0, 25.2, 11, 65, 111, 2654, 23659, 0
34.001241, 0.995126, 43188, 0, 24.3, 12, 56, 106, 2577, 6994, 0
35.003134, 1.001893, 36888, 0, 24.7, 12, 60, 106, 2672, 21446, 0
36.001574, 0.99844, 37158, 0, 36.4, 11, 73, 117, 2927, 444727, 0
37.002467, 1.000893, 51424, 5, 24.6, 11, 62, 107, 2683, 22666, 0
38.002765, 1.000298, 39967, 5, 26.3, 11, 69, 112, 2508, 8723, 0
39.003606, 1.000841, 50530, 5, 29.8, 11, 64, 107, 2647, 386727, 0
40.002162, 0.998556, 43166, 0, 22.8, 11, 49, 95, 2501, 26769, 0
41.004249, 1.002087, 36277, 5, 24.6, 11, 60, 104, 2670, 7098, 0
42.001953, 0.997704, 43993, 0, 24.0, 10, 64, 108, 2572, 7945, 0
43.002287, 1.000334, 48195, 0, 22.2, 10, 59, 105, 2510, 6417, 0
44.00201, 0.999723, 48202, 0, 21.7, 11, 55, 103, 2444, 10629, 0
45.004612, 1.002602, 43918, 0, 25.5, 11, 63, 103, 2495, 23632, 0
46.002784, 0.998172, 46348, 0, 21.8, 11, 52, 96, 2513, 23632, 0
