elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.001216, 1.001216, 115344, 0, 15.1, 6, 41, 95, 535, 9365, 0
2.699468, 1.698252, 46324, 0, 20.2, 7, 51, 92, 162, 314972, 0
3.651418, 0.95195, 44197, 0, 19.9, 7, 50, 85, 178, 314972, 0
4.482762, 0.831344, 45108, 0, 10.8, 6, 23, 61, 1933, 9332, 0
5.3479, 0.865138, 45242, 0, 12.0, 6, 25, 65, 1884, 9332, 0
6.470238, 1.122338, 61902, 0, 20.3, 7, 27, 67, 1320, 635716, 0
7.421437, 0.951199, 49594, 0, 20.3, 7, 26, 68, 1841, 635716, 0
8.399353, 0.977916, 48835, 0, 18.3, 7, 28, 72, 2023, 403385, 0
9.291867, 0.892514, 41842, 3, 19.2, 7, 30, 75, 1952, 403385, 0
10.329694, 1.037827, 44467, 3, 12.5, 7, 29, 69, 2082, 2737, 0
11.346592, 1.016898, 36673, 3, 15.6, 6, 48, 88, 2232, 8294, 0
12.223748, 0.877156, 42925, 0, 14.2, 7, 40, 81, 2049, 6292, 0
13.076199, 0.852451, 42747, 3, 14.3, 7, 36, 79, 2026, 3166, 0
14.003968, 0.927769, 43809, 0, 14.7, 7, 37, 80, 2146, 2774, 0
15.005158, 1.00119, 50406, 3, 15.6, 7, 40, 86, 2230, 8969, 0
16.005269, 1.000111, 50142, 0, 14.2, 7, 28, 74, 2155, 26656, 0
17.001609, 0.99634, 50697, 3, 13.1, 7, 26, 72, 2105, 8422, 0
18.002836, 1.001227, 49321, 3, 14.2, 7, 31, 78, 2011, 25686, 0
19.003972, 1.001136, 49699, 0, 20.2, 7, 30, 75, 169, 394599, 0
20.004139, 1.000167, 48311, 0, 14.4, 7, 29, 78, 2148, 13388, 0
21.003507, 0.999368, 39659, 0, 30.7, 7, 69, 129, 2328, 472772, 0
22.005928, 1.002421, 48914, 3, 24.1, 7, 43, 85, 2129, 472772, 0
23.005991, 1.000063, 51901, 0, 15.3, 7, 37, 86, 2326, 23447, 0
24.010756, 1.004765, 42614, 3, 16.7, 7, 47, 92, 2084, 8838, 0
25.003758, 0.993002, 40666, 0, 16.7, 7, 44, 86, 2333, 18429, 0
26.00283, 0.999072, 49501, 3, 16.0, 7, 40, 83, 181, 12267, 0
27.003294, 1.000464, 50981, 0, 14.2, 7, 30, 76, 153, 9082, 0
28.002835, 0.999541, 45614, 3, 14.4, 7, 40, 85, 171, 5146, 0
29.003037, 1.000202, 48269, 0, 16.7, 7, 46, 95, 2253, 4057, 0
30.003277, 1.00024, 49904, 3, 15.9, 7, 38, 84, 2325, 3281, 0
31.001979, 0.998702, 39419, 3, 14.3, 7, 37, 86, 2175, 3281, 0
32.004956, 1.002977, 43107, 3, 17.0, 7, 49, 93, 2519, 9867, 0
33.006115, 1.001159, 39944, 0, 18.6, 8, 57, 102, 2373, 9867, 0
34.001241, 0.995126, 45978, 0, 17.8, 8, 49, 98, 2349, 4136, 0
35.003134, 1.001893, 42096, 0, 17.1, 8, 42, 90, 2467, 6356, 0
36.001574, 0.99844, 35932, 3, 29.5, 8, 67, 114, 2638, 347470, 0
37.002467, 1.000893, 47010, 3, 17.3, 7, 53, 103, 2460, 4523, 0
38.002765, 1.000298, 44624, 3, 16.6, 7, 47, 94, 2124, 3419, 0
39.003606, 1.000841, 43537, 3, 18.7, 7, 59, 104, 2419, 18599, 0
40.002162, 0.998556, 46826, 0, 15.3, 7, 36, 83, 2219, 9167, 0
41.004249, 1.002087, 40697, 3, 24.6, 7, 46, 93, 2491, 368793, 0
