elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.012901, 1.012901, 149400, 2, 12.0, 6, 26, 70, 1746, 5900, 0
3.343089, 2.330188, 58960, 0, 10.8, 6, 23, 54, 104, 2747, 0
4.458936, 1.115847, 63073, 3, 13.5, 6, 27, 67, 2001, 6972, 0
5.657135, 1.198199, 52450, 3, 16.1, 6, 44, 81, 2055, 14493, 0
6.563207, 0.906072, 43445, 3, 20.7, 7, 53, 87, 2260, 26105, 0
7.366628, 0.803421, 45174, 0, 17.1, 7, 42, 68, 2025, 26105, 0
8.588562, 1.221934, 62040, 3, 17.1, 7, 47, 75, 2043, 27477, 0
9.423066, 0.834504, 39885, 3, 18.3, 7, 49, 77, 2168, 27477, 0
10.506808, 1.083742, 59660, 3, 14.6, 6, 34, 65, 2051, 16995, 0
11.487296, 0.980488, 43286, 3, 16.8, 7, 46, 78, 1533, 14201, 0
12.397447, 0.910151, 37152, 3, 20.7, 8, 56, 87, 2269, 6839, 0
13.426248, 1.028801, 54156, 3, 19.9, 7, 28, 66, 1484, 417280, 0
14.593893, 1.167645, 59915, 3, 14.5, 7, 34, 68, 2110, 13040, 0
15.62547, 1.031577, 40511, 3, 16.7, 7, 45, 80, 2204, 14713, 0
16.398715, 0.773245, 31204, 3, 16.3, 7, 47, 86, 2385, 9108, 0
17.381472, 0.982757, 40481, 3, 15.2, 6, 47, 75, 2184, 3847, 0
18.302682, 0.92121, 41739, 3, 26.7, 7, 51, 80, 2259, 548414, 0
19.302821, 1.000139, 38421, 3, 30.2, 7, 57, 93, 2605, 548414, 0
20.221865, 0.919044, 41323, 0, 17.3, 7, 51, 83, 2187, 21839, 0
21.008351, 0.786486, 36839, 3, 14.1, 7, 44, 78, 2040, 8646, 0
22.006177, 0.997826, 50754, 0, 17.2, 7, 49, 83, 2178, 9270, 0
23.007115, 1.000938, 40861, 3, 25.2, 8, 34, 76, 2355, 419510, 0
24.005982, 0.998867, 43485, 3, 25.5, 7, 47, 86, 2508, 393978, 0
25.007096, 1.001114, 46888, 3, 24.9, 7, 51, 84, 2246, 361833, 0
26.007476, 1.00038, 49193, 0, 14.6, 7, 35, 75, 2219, 8523, 0
27.007453, 0.999977, 43632, 3, 19.6, 8, 58, 90, 2126, 9151, 0
28.007669, 1.000216, 41580, 0, 17.2, 7, 48, 82, 2218, 9446, 0
29.005004, 0.997335, 43956, 3, 15.9, 7, 49, 87, 307, 6083, 0
30.006217, 1.001213, 51058, 0, 13.7, 7, 27, 67, 2159, 21910, 0
31.00723, 1.001013, 37284, 0, 18.5, 7, 55, 85, 2415, 6946, 0
32.00892, 1.00169, 43589, 3, 21.9, 8, 60, 93, 2431, 27701, 0
33.008113, 0.999193, 35368, 3, 21.2, 8, 63, 96, 2407, 4210, 0
34.006059, 0.997946, 41434, 3, 20.4, 8, 62, 94, 2457, 25712, 0
35.005976, 0.999917, 45310, 0, 20.7, 8, 65, 98, 2448, 3881, 0
36.00873, 1.002754, 48601, 3, 16.1, 7, 46, 79, 1870, 3136, 0
37.00367, 0.99494, 44299, 0, 17.9, 8, 51, 96, 2164, 5397, 0
38.004301, 1.000631, 44853, 3, 16.4, 7, 42, 82, 2294, 5397, 0
39.00467, 1.000369, 38152, 0, 14.8, 7, 35, 73, 2478, 3509, 0
40.005277, 1.000607, 53689, 3, 13.5, 6, 37, 69, 2036, 8999, 0
41.005363, 1.000086, 45218, 0, 27.7, 7, 51, 85, 2373, 452689, 0
42.003613, 0.99825, 43081, 3, 15.1, 7, 38, 74, 2180, 3822, 0
43.010771, 1.007158, 39449, 0, 17.5, 7, 50, 93, 2342, 10322, 0
44.004944, 0.994173, 49171, 3, 14.2, 7, 38, 87, 2088, 5814, 0
45.005941, 1.000997, 45481, 0, 16.8, 7, 46, 78, 2416, 8457, 0
46.00492, 0.998979, 49724, 0, 14.7, 7, 35, 70, 2115, 12299, 0
47.0064, 1.00148, 41558, 0, 17.0, 7, 46, 78, 2231, 12299, 0
48.006126, 0.999726, 46129, 0, 14.6, 7, 42, 73, 352, 3422, 0
49.005158, 0.999032, 46732, 3, 23.4, 7, 43, 79, 2195, 410570, 0
50.001669, 0.996511, 42234, 0, 20.2, 8, 55, 86, 2517, 7417, 0
51.004255, 1.002586, 46692, 3, 18.8, 7, 49, 84, 2449, 10139, 0
52.00277, 0.998515, 43630, 0, 16.7, 7, 46, 89, 2315, 9666, 0
53.004983, 1.002213, 48848, 3, 13.7, 7, 34, 73, 2380, 10197, 0
54.007017, 1.002034, 45662, 0, 16.0, 7, 40, 72, 2327, 10253, 0
55.002131, 0.995114, 42319, 3, 22.1, 7, 32, 65, 2407, 409875, 0
56.005429, 1.003298, 45497, 3, 15.5, 7, 43, 77, 2274, 16981, 0
57.002716, 0.997287, 46662, 3, 15.6, 7, 43, 77, 2322, 4945, 0
58.003411, 1.000695, 46412, 0, 14.9, 7, 38, 75, 2184, 4837, 0
59.003641, 1.00023, 44144, 3, 16.7, 6, 43, 97, 2449, 20565, 0
60.004996, 1.001355, 44608, 2, 15.5, 7, 42, 78, 2141, 7819, 0
61.003278, 0.998282, 48480, 3, 23.6, 7, 36, 70, 1536, 444850, 0
62.005154, 1.001876, 48755, 3, 14.0, 7, 36, 71, 2211, 18765, 0
63.001756, 0.996602, 44544, 0, 14.4, 7, 38, 72, 2339, 8886, 0
64.003256, 1.0015, 46124, 3, 14.7, 7, 37, 70, 2170, 9581, 0
65.005035, 1.001779, 43006, 3, 16.7, 8, 46, 85, 2294, 6930, 0
66.007355, 1.00232, 33371, 3, 28.5, 12, 75, 113, 2869, 25890, 0
67.00228, 0.994925, 32341, 0, 24.7, 9, 70, 104, 3104, 10035, 0
68.008529, 1.006249, 31663, 4, 29.1, 9, 83, 157, 3057, 18803, 0
69.00403, 0.995501, 37741, 0, 24.0, 9, 69, 104, 2979, 5394, 0
70.004447, 1.000417, 41122, 3, 23.9, 12, 70, 102, 2018, 8686, 0
71.005897, 1.00145, 35694, 1, 24.8, 9, 73, 111, 490, 10187, 0
72.00361, 0.997713, 42835, 3, 17.9, 8, 48, 87, 2549, 4218, 0
73.002819, 0.999209, 49430, 0, 21.3, 7, 31, 67, 2384, 318661, 0
74.004238, 1.001419, 36834, 3, 21.3, 8, 61, 96, 2382, 10642, 0
75.002942, 0.998704, 44432, 0, 31.3, 8, 61, 93, 2394, 506557, 0
76.005262, 1.00232, 30054, 3, 27.7, 11, 74, 108, 3014, 4759, 0
77.00361, 0.998348, 39920, 3, 21.9, 8, 67, 103, 2748, 6252, 0
78.003602, 0.999992, 38307, 3, 33.7, 12, 70, 99, 2549, 336898, 0
79.002808, 0.999206, 44240, 3, 16.3, 8, 50, 84, 147, 9541, 0
80.003693, 1.000885, 43125, 3, 26.7, 7, 59, 92, 2499, 341410, 0
81.005764, 1.002071, 37549, 3, 26.2, 10, 75, 115, 2354, 9722, 0
82.005609, 0.999845, 35017, 3, 24.9, 9, 68, 101, 2761, 8488, 0
83.004419, 0.99881, 39087, 3, 20.8, 8, 68, 107, 2565, 5077, 0
84.003444, 0.999025, 51615, 0, 13.4, 7, 28, 65, 2376, 3009, 0
85.001375, 0.997931, 48350, 3, 14.5, 7, 34, 69, 2327, 10612, 0
86.00433, 1.002955, 49123, 3, 12.6, 7, 30, 67, 176, 11709, 0
87.004913, 1.000583, 48745, 3, 17.1, 7, 49, 80, 176, 28729, 0
88.005257, 1.000344, 26660, 1, 35.4, 8, 67, 106, 2569, 499973, 0
89.003711, 0.998454, 45782, 0, 30.4, 7, 59, 94, 328, 499973, 0
90.004597, 1.000886, 39675, 0, 17.3, 7, 54, 87, 2266, 8534, 0
91.002105, 0.997508, 49618, 0, 15.5, 7, 42, 76, 2002, 9843, 0
