elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.012901, 1.012901, 184288, 1, 15.2, 9, 28, 74, 2237, 25207, 0
3.343089, 2.330188, 60880, 0, 30.5, 9, 31, 78, 2151, 590493, 0
4.458936, 1.115847, 55427, 0, 31.2, 9, 33, 77, 2122, 590493, 0
5.657135, 1.198199, 44050, 4, 27.5, 9, 65, 106, 2826, 11053, 0
6.563207, 0.906072, 42768, 0, 32.2, 10, 53, 79, 2210, 441285, 0
7.366628, 0.803421, 61295, 0, 26.5, 10, 51, 79, 2153, 441285, 0
8.588562, 1.221934, 41306, 4, 26.4, 10, 61, 92, 2299, 8035, 0
9.423066, 0.834504, 57956, 4, 24.1, 10, 56, 87, 2287, 18849, 0
10.506808, 1.083742, 44975, 5, 21.3, 10, 39, 79, 2460, 24419, 0
11.487296, 0.980488, 41461, 5, 40.7, 11, 71, 103, 3157, 516621, 0
12.397447, 0.910151, 50459, 3, 31.9, 11, 63, 95, 3157, 516621, 0
13.426248, 1.028801, 57844, 3, 31.1, 10, 40, 81, 2461, 519071, 0
14.593893, 1.167645, 44494, 0, 21.1, 10, 47, 84, 2227, 11132, 0
15.62547, 1.031577, 33740, 5, 24.0, 12, 63, 104, 2677, 33189, 0
16.398715, 0.773245, 43696, 5, 22.2, 10, 56, 96, 2497, 33189, 0
17.381472, 0.982757, 41111, 5, 20.8, 9, 55, 85, 2320, 19898, 0
18.302682, 0.92121, 36089, 0, 24.8, 10, 62, 92, 2484, 26084, 0
19.302821, 1.000139, 42660, 0, 24.8, 10, 64, 99, 2598, 26084, 0
20.221865, 0.919044, 36487, 0, 22.0, 10, 57, 90, 2409, 18838, 0
21.008351, 0.786486, 39512, 5, 20.0, 10, 50, 87, 2362, 18838, 0
22.006177, 0.997826, 51525, 0, 22.7, 11, 57, 92, 2361, 12054, 0
23.007115, 1.000938, 33659, 5, 23.3, 12, 50, 94, 2684, 12059, 0
24.005982, 0.998867, 49346, 0, 24.2, 11, 62, 99, 2595, 6811, 0
25.007096, 1.001114, 49540, 0, 30.9, 10, 60, 94, 2426, 451221, 0
26.007476, 1.00038, 49994, 0, 28.7, 10, 45, 90, 2388, 486328, 0
27.007453, 0.999977, 40083, 0, 32.3, 11, 66, 101, 2457, 351138, 0
28.007669, 1.000216, 41087, 0, 38.1, 11, 64, 100, 2435, 505040, 0
29.005004, 0.997335, 44137, 5, 35.3, 10, 57, 98, 2519, 482271, 0
30.006217, 1.001213, 49112, 5, 25.6, 10, 48, 88, 2434, 294464, 0
31.00723, 1.001013, 38663, 3, 44.0, 11, 68, 103, 2799, 901706, 0
32.00892, 1.00169, 39953, 5, 30.3, 12, 73, 106, 2857, 27579, 0
33.008113, 0.999193, 30646, 0, 30.8, 12, 76, 108, 2975, 9595, 0
34.006059, 0.997946, 42204, 6, 30.6, 12, 80, 115, 2832, 7525, 0
35.005976, 0.999917, 50771, 0, 28.9, 11, 75, 109, 2663, 22087, 0
36.00873, 1.002754, 53301, 5, 23.8, 11, 58, 94, 2445, 22087, 0
37.00367, 0.99494, 42232, 5, 25.6, 11, 62, 118, 2415, 10695, 0
38.004301, 1.000631, 37524, 5, 22.3, 11, 51, 95, 2474, 10615, 0
39.00467, 1.000369, 44217, 1, 19.2, 9, 41, 84, 2577, 8866, 0
40.005277, 1.000607, 49938, 0, 23.3, 10, 56, 94, 2481, 10168, 0
41.005363, 1.000086, 48059, 0, 24.9, 11, 57, 94, 2624, 10168, 0
42.003613, 0.99825, 41243, 1, 22.4, 11, 51, 88, 2502, 9038, 0
43.010771, 1.007158, 41234, 1, 23.6, 11, 59, 114, 2516, 24737, 0
44.004944, 0.994173, 53830, 5, 26.2, 10, 48, 104, 2420, 413780, 0
45.005941, 1.000997, 43094, 5, 21.7, 11, 51, 85, 2451, 10317, 0
46.00492, 0.998979, 47425, 0, 20.4, 11, 44, 86, 2426, 3498, 0
47.0064, 1.00148, 42308, 0, 22.7, 11, 52, 89, 2550, 7442, 0
48.006126, 0.999726, 44853, 0, 21.4, 10, 49, 87, 2548, 20328, 0
49.005158, 0.999032, 44282, 5, 23.8, 10, 57, 95, 2523, 20328, 0
50.001669, 0.996511, 42175, 5, 27.4, 11, 65, 98, 2666, 17976, 0
51.004255, 1.002586, 50165, 5, 25.3, 11, 61, 95, 2590, 6052, 0
52.00277, 0.998515, 41743, 2, 22.9, 10, 54, 105, 2487, 10098, 0
53.004983, 1.002213, 52853, 5, 18.8, 10, 42, 83, 2472, 9761, 0
54.007017, 1.002034, 40971, 0, 27.3, 10, 49, 85, 2500, 358537, 0
55.002131, 0.995114, 41109, 0, 25.9, 9, 42, 77, 2576, 358537, 0
56.005429, 1.003298, 43928, 0, 20.9, 9, 52, 90, 2439, 18652, 0
57.002716, 0.997287, 48635, 0, 21.0, 10, 50, 89, 2502, 8317, 0
58.003411, 1.000695, 44420, 0, 21.8, 10, 49, 92, 2595, 10844, 0
59.003641, 1.00023, 49061, 0, 29.6, 10, 52, 106, 2565, 410376, 0
60.004996, 1.001355, 45867, 0, 21.6, 10, 51, 89, 2432, 8007, 0
61.003278, 0.998282, 42133, 5, 20.0, 10, 46, 85, 2465, 4074, 0
62.005154, 1.001876, 48141, 5, 19.7, 10, 46, 84, 2510, 3838, 0
63.001756, 0.996602, 45914, 4, 19.7, 10, 48, 84, 2375, 5442, 0
64.003256, 1.0015, 49498, 5, 20.4, 10, 44, 83, 2452, 8221, 0
65.005035, 1.001779, 43096, 0, 25.6, 11, 66, 110, 2531, 9530, 0
66.007355, 1.00232, 25387, 5, 37.9, 13, 87, 127, 3131, 11694, 0
67.00228, 0.994925, 29705, 6, 37.6, 13, 88, 163, 3301, 9646, 0
68.008529, 1.006249, 32451, 6, 46.4, 13, 96, 194, 3480, 362911, 0
69.00403, 0.995501, 40273, 0, 40.0, 12, 83, 120, 3423, 295876, 0
70.004447, 1.000417, 40224, 0, 39.3, 12, 81, 115, 3051, 295876, 0
71.005897, 1.00145, 39872, 0, 41.2, 12, 82, 123, 3178, 435201, 0
72.00361, 0.997713, 45614, 5, 29.9, 11, 55, 95, 2667, 419955, 0
73.002819, 0.999209, 50127, 5, 25.8, 11, 44, 82, 2464, 362151, 0
74.004238, 1.001419, 37805, 0, 32.9, 11, 68, 102, 2632, 362151, 0
75.002942, 0.998704, 37662, 0, 29.8, 11, 77, 112, 2785, 21360, 0
76.005262, 1.00232, 25726, 0, 34.9, 12, 83, 117, 3259, 25985, 0
77.00361, 0.998348, 44575, 6, 32.5, 12, 81, 120, 3201, 21486, 0
78.003602, 0.999992, 40407, 0, 38.2, 12, 76, 107, 2959, 304730, 0
79.002808, 0.999206, 43746, 6, 32.0, 11, 69, 103, 2640, 304730, 0
80.003693, 1.000885, 43860, 5, 28.3, 11, 74, 106, 2660, 4394, 0
81.005764, 1.002071, 36281, 5, 35.2, 12, 87, 131, 2850, 19722, 0
82.005609, 0.999845, 31808, 0, 34.9, 12, 83, 126, 3200, 19722, 0
83.004419, 0.99881, 42868, 5, 27.5, 11, 76, 117, 2879, 6980, 0
84.003444, 0.999025, 54145, 0, 20.7, 11, 42, 85, 2560, 13042, 0
85.001375, 0.997931, 47978, 5, 19.1, 10, 41, 82, 2362, 13042, 0
86.00433, 1.002955, 51401, 5, 26.1, 10, 43, 84, 2442, 428869, 0
87.004913, 1.000583, 41379, 0, 27.2, 11, 67, 102, 2543, 28397, 0
88.005257, 1.000344, 23410, 0, 28.2, 11, 74, 119, 2937, 28397, 0
89.003711, 0.998454, 46019, 5, 28.2, 11, 72, 107, 2829, 10045, 0
90.004597, 1.000886, 48114, 5, 30.3, 11, 63, 97, 2652, 341704, 0
91.002105, 0.997508, 44319, 4, 24.2, 11, 62, 96, 2519, 7652, 0
92.002497, 1.000392, 32281, 5, 34.4, 12, 81, 115, 2863, 23250, 0
93.008418, 1.005921, 32407, 0, 30.7, 11, 77, 116, 3139, 23250, 0
94.004781, 0.996363, 53528, 5, 22.5, 10, 55, 97, 2675, 5436, 0
95.008821, 1.00404, 42108, 0, 25.5, 11, 64, 100, 2653, 8604, 0
96.004834, 0.996013, 34144, 5, 29.7, 12, 74, 112, 2750, 8535, 0
97.003373, 0.998539, 35945, 6, 34.5, 13, 83, 114, 3086, 8670, 0
98.001127, 0.997754, 33767, 5, 30.4, 12, 79, 117, 2855, 8958, 0
99.005782, 1.004655, 51290, 0, 25.9, 10, 69, 107, 2722, 8192, 0
