elapsed, window, total, successful, failed
1.012901, 1.012901, 333688, 333688, 0
3.343089, 2.330188, 119840, 119840, 0
4.458936, 1.115847, 118500, 118500, 0
5.657135, 1.198199, 96500, 96500, 0
6.563207, 0.906072, 86213, 86213, 0
7.366628, 0.803421, 106469, 106469, 0
8.588562, 1.221934, 103346, 103346, 0
9.423066, 0.834504, 97841, 97841, 0
10.506808, 1.083742, 104635, 104635, 0
11.487296, 0.980488, 84747, 84747, 0
12.397447, 0.910151, 87611, 87611, 0
13.426248, 1.028801, 112000, 112000, 0
14.593893, 1.167645, 104409, 104409, 0
15.62547, 1.031577, 74251, 74251, 0
16.398715, 0.773245, 74900, 74900, 0
17.381472, 0.982757, 81592, 81592, 0
18.302682, 0.92121, 77828, 77828, 0
19.302821, 1.000139, 81081, 81081, 0
20.221865, 0.919044, 77810, 77810, 0
21.008351, 0.786486, 76351, 76351, 0
22.006177, 0.997826, 102279, 102279, 0
23.007115, 1.000938, 74520, 74520, 0
24.005982, 0.998867, 92831, 92831, 0
25.007096, 1.001114, 96428, 96428, 0
26.007476, 1.00038, 99187, 99187, 0
27.007453, 0.999977, 83715, 83715, 0
28.007669, 1.000216, 82667, 82667, 0
29.005004, 0.997335, 88093, 88093, 0
30.006217, 1.001213, 100170, 100170, 0
31.00723, 1.001013, 75947, 75947, 0
32.00892, 1.00169, 83542, 83542, 0
33.008113, 0.999193, 66014, 66014, 0
34.006059, 0.997946, 83638, 83638, 0
35.005976, 0.999917, 96081, 96081, 0
36.00873, 1.002754, 101902, 101902, 0
37.00367, 0.99494, 86531, 86531, 0
38.004301, 1.000631, 82377, 82377, 0
39.00467, 1.000369, 82369, 82369, 0
40.005277, 1.000607, 103627, 103627, 0
41.005363, 1.000086, 93277, 93277, 0
42.003613, 0.99825, 84324, 84324, 0
43.010771, 1.007158, 80683, 80683, 0
44.004944, 0.994173, 103001, 103001, 0
45.005941, 1.000997, 88575, 88575, 0
46.00492, 0.998979, 97149, 97149, 0
47.0064, 1.00148, 83866, 83866, 0
48.006126, 0.999726, 90982, 90982, 0
49.005158, 0.999032, 91014, 91014, 0
50.001669, 0.996511, 84409, 84409, 0
51.004255, 1.002586, 96857, 96857, 0
52.00277, 0.998515, 85373, 85373, 0
53.004983, 1.002213, 101701, 101701, 0
54.007017, 1.002034, 86633, 86633, 0
55.002131, 0.995114, 83428, 83428, 0
56.005429, 1.003298, 89425, 89425, 0
57.002716, 0.997287, 95297, 95297, 0
58.003411, 1.000695, 90832, 90832, 0
59.003641, 1.00023, 93205, 93205, 0
60.004996, 1.001355, 90475, 90475, 0
61.003278, 0.998282, 90613, 90613, 0
62.005154, 1.001876, 96896, 96896, 0
63.001756, 0.996602, 90458, 90458, 0
64.003256, 1.0015, 95622, 95622, 0
65.005035, 1.001779, 86102, 86102, 0
66.007355, 1.00232, 58758, 58758, 0
67.00228, 0.994925, 62046, 62046, 0
68.008529, 1.006249, 64114, 64114, 0
69.00403, 0.995501, 78014, 78014, 0
70.004447, 1.000417, 81346, 81346, 0
71.005897, 1.00145, 75566, 75566, 0
72.00361, 0.997713, 88449, 88449, 0
73.002819, 0.999209, 99557, 99557, 0
