elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.000878, 1.000878, 94610, 0, 98.4, 103, 202, 472, 873, 2078, 0
2.001374, 1.000496, 79710, 0, 96.8, 101, 203, 430, 744, 15236, 0
3.001421, 1.000047, 70648, 2, 98.5, 99, 209, 403, 521, 501755, 0
4.001302, 0.999881, 60607, 2, 102.5, 97, 206, 393, 527, 735873, 0
5.00153, 1.000228, 66585, 2, 103.4, 95, 205, 398, 542, 735873, 0
6.001436, 0.999906, 67620, 2, 102.2, 95, 203, 396, 526, 656111, 0
7.00141, 0.999974, 63144, 2, 96.6, 95, 200, 392, 518, 648661, 0
8.001476, 1.000066, 62264, 0, 100.0, 95, 214, 418, 587, 715332, 0
9.001448, 0.999972, 61330, 0, 101.7, 96, 217, 424, 586, 715332, 0
10.001447, 0.999999, 67329, 0, 93.9, 97, 208, 405, 544, 18559, 0
11.00152, 1.000073, 65119, 0, 93.5, 97, 206, 402, 532, 20050, 0
12.001479, 0.999959, 67086, 0, 95.7, 98, 222, 417, 539, 20050, 0
13.001743, 1.000264, 65875, 0, 94.4, 97, 220, 408, 527, 5886, 0
14.001453, 0.99971, 67659, 2, 91.4, 95, 199, 394, 506, 20238, 0
15.001289, 0.999836, 67698, 2, 91.2, 94, 199, 393, 523, 20238, 0
16.001497, 1.000208, 64847, 2, 93.5, 96, 219, 411, 529, 14586, 0
17.001409, 0.999912, 63966, 2, 93.8, 97, 219, 411, 514, 13402, 0
18.001458, 1.000049, 67121, 2, 94.8, 97, 229, 417, 536, 20667, 0
19.001417, 0.999959, 60096, 1, 94.7, 96, 229, 417, 538, 20667, 0
20.001514, 1.000097, 63304, 1, 91.4, 95, 201, 401, 510, 5209, 0
21.001584, 1.00007, 71116, 2, 92.3, 95, 200, 406, 525, 22057, 0
22.001378, 0.999794, 58429, 2, 92.4, 95, 200, 411, 550, 22057, 0
23.00134, 0.999962, 69992, 0, 93.7, 96, 216, 412, 546, 21001, 0
24.001804, 1.000464, 60783, 0, 96.1, 97, 229, 417, 536, 20537, 0
25.001285, 0.999481, 58960, 0, 94.5, 95, 214, 417, 555, 20537, 0
