elapsed, window, total, successful, failed
1.000878, 1.000878, 94610, 94610, 0
2.001374, 1.000496, 79710, 79710, 0
3.001421, 1.000047, 70648, 70648, 0
4.001302, 0.999881, 60607, 60607, 0
5.00153, 1.000228, 66585, 66585, 0
6.001436, 0.999906, 67620, 67620, 0
7.00141, 0.999974, 63144, 63144, 0
8.001476, 1.000066, 62264, 62264, 0
9.001448, 0.999972, 61330, 61330, 0
10.001447, 0.999999, 67329, 67329, 0
11.00152, 1.000073, 65119, 65119, 0
12.001479, 0.999959, 67086, 67086, 0
13.001743, 1.000264, 65875, 65875, 0
14.001453, 0.99971, 67659, 67659, 0
15.001289, 0.999836, 67698, 67698, 0
16.001497, 1.000208, 64847, 64847, 0
17.001409, 0.999912, 63966, 63966, 0
18.001458, 1.000049, 67121, 67121, 0
19.001417, 0.999959, 60096, 60096, 0
20.001514, 1.000097, 63304, 63304, 0
21.001584, 1.00007, 71116, 71116, 0
22.001378, 0.999794, 58429, 58429, 0
23.00134, 0.999962, 69992, 69992, 0
24.001804, 1.000464, 60783, 60783, 0
25.001285, 0.999481, 58960, 58960, 0
26.001306, 1.000021, 65863, 65863, 0
27.001485, 1.000179, 61064, 61064, 0
28.001362, 0.999877, 68439, 68439, 0
29.00135, 0.999988, 67904, 67904, 0
30.001443, 1.000093, 62753, 62753, 0
31.001352, 0.999909, 67265, 67265, 0
32.001281, 0.999929, 58526, 58526, 0
33.001391, 1.00011, 64213, 64213, 0
34.001602, 1.000211, 65123, 65123, 0
35.00178, 1.000178, 71010, 71010, 0
36.001859, 1.000079, 66498, 66498, 0
37.001518, 0.999659, 56796, 56796, 0
38.001304, 0.999786, 74207, 74207, 0
39.001553, 1.000249, 62151, 62151, 0
40.00161, 1.000057, 53654, 53654, 0
41.001576, 0.999966, 67034, 67034, 0
42.001652, 1.000076, 69698, 69698, 0
43.001495, 0.999843, 69031, 69031, 0
44.001268, 0.999773, 61781, 61781, 0
45.001585, 1.000317, 70142, 70142, 0
46.001804, 1.000219, 57925, 57925, 0
47.001549, 0.999745, 70119, 70119, 0
48.001348, 0.999799, 53460, 53460, 0
49.001334, 0.999986, 68334, 68334, 0
50.001502, 1.000168, 56431, 56431, 0
51.001559, 1.000057, 73389, 73389, 0
52.00152, 0.999961, 63881, 63881, 0
53.001625, 1.000105, 66291, 66291, 0
54.001628, 1.000003, 62273, 62273, 0
55.001354, 0.999726, 61615, 61615, 0
56.001511, 1.000157, 70906, 70906, 0
57.001667, 1.000156, 62945, 62945, 0
58.00157, 0.999903, 66208, 66208, 0
59.001396, 0.999826, 60305, 60305, 0
60.001524, 1.000128, 67208, 67208, 0
61.001672, 1.000148, 64615, 64615, 0
62.001476, 0.999804, 65801, 65801, 0
63.001614, 1.000138, 70938, 70938, 0
64.001495, 0.999881, 55433, 55433, 0
65.001689, 1.000194, 71323, 71323, 0
66.001587, 0.999898, 64676, 64676, 0
67.001378, 0.999791, 61364, 61364, 0
68.002124, 1.000746, 69653, 69653, 0
69.00166, 0.999536, 61473, 61473, 0
70.001396, 0.999736, 66493, 66493, 0
71.00151, 1.000114, 59861, 59861, 0
72.001484, 0.999974, 62017, 62017, 0
73.001878, 1.000394, 72331, 72331, 0
74.001631, 0.999753, 60130, 60130, 0
75.001489, 0.999858, 65485, 65485, 0
76.00137, 0.999881, 64185, 64185, 0
77.001455, 1.000085, 62493, 62493, 0
78.00127, 0.999815, 70982, 70982, 0
79.00135, 1.00008, 63474, 63474, 0
80.001569, 1.000219, 56771, 56771, 0
81.001645, 1.000076, 65001, 65001, 0
82.001538, 0.999893, 64543, 64543, 0
83.00149, 0.999952, 68509, 68509, 0
84.001578, 1.000088, 64559, 64559, 0
85.001579, 1.000001, 64422, 64422, 0
86.001793, 1.000214, 65280, 65280, 0
87.001723, 0.99993, 61039, 61039, 0
88.001404, 0.999681, 74985, 74985, 0
89.001769, 1.000365, 59813, 59813, 0
90.00169, 0.999921, 62644, 62644, 0
91.001376, 0.999686, 62759, 62759, 0
92.001342, 0.999966, 69616, 69616, 0
93.00163, 1.000288, 62033, 62033, 0
94.001614, 0.999984, 71794, 71794, 0
95.001499, 0.999885, 59001, 59001, 0
96.001579, 1.00008, 62864, 62864, 0
97.00142, 0.999841, 65225, 65225, 0
98.001561, 1.000141, 66096, 66096, 0
99.001389, 0.999828, 67479, 67479, 0
100.001501, 1.000112, 58129, 58129, 0
101.00152, 1.000019, 70608, 70608, 0
102.001907, 1.000387, 63216, 63216, 0
103.001523, 0.999616, 55233, 55233, 0
104.001543, 1.00002, 73484, 73484, 0
105.001474, 0.999931, 63099, 63099, 0
106.001529, 1.000055, 70076, 70076, 0
107.002128, 1.000599, 66982, 66982, 0
108.001339, 0.999211, 56230, 56230, 0
109.001556, 1.000217, 65772, 65772, 0
110.001381, 0.999825, 59775, 59775, 0
111.001297, 0.999916, 64929, 64929, 0
112.001304, 1.000007, 61697, 61697, 0
113.001694, 1.00039, 71064, 71064, 0
114.001389, 0.999695, 61474, 61474, 0
115.001299, 0.99991, 66909, 66909, 0
116.001454, 1.000155, 69599, 69599, 0
117.001465, 1.000011, 66205, 66205, 0
118.001627, 1.000162, 56579, 56579, 0
119.001639, 1.000012, 61694, 61694, 0
120.001461, 0.999822, 71194, 71194, 0
121.001334, 0.999873, 68462, 68462, 0
122.001548, 1.000214, 68609, 68609, 0
123.001531, 0.999983, 60259, 60259, 0
124.001446, 0.999915, 64953, 64953, 0
125.001344, 0.999898, 61853, 61853, 0
126.001552, 1.000208, 60945, 60945, 0
127.0014, 0.999848, 66860, 66860, 0
128.001289, 0.999889, 65445, 65445, 0
129.001351, 1.000062, 61796, 61796, 0
130.001252, 0.999901, 66874, 66874, 0
131.001589, 1.000337, 60095, 60095, 0
