elapsed, window, total, successful, failed
1.013995, 1.013995, 259424, 259424, 0
2.697346, 1.683351, 72699, 72699, 0
3.344497, 0.647151, 81952, 81952, 0
4.124063, 0.779566, 90299, 90299, 0
5.088542, 0.964479, 104864, 104864, 0
6.133741, 1.045199, 108323, 108323, 0
7.253512, 1.119771, 101081, 101081, 0
8.145853, 0.892341, 84521, 84521, 0
9.021818, 0.875965, 78662, 78662, 0
10.186322, 1.164504, 74085, 74085, 0
11.04868, 0.862358, 78761, 78761, 0
12.005368, 0.956688, 103276, 103276, 0
13.066063, 1.060695, 88868, 88868, 0
14.010526, 0.944463, 87286, 87286, 0
15.00641, 0.995884, 92572, 92572, 0
16.05722, 1.05081, 79894, 79894, 0
17.006905, 0.949685, 108971, 108971, 0
18.066352, 1.059447, 98677, 98677, 0
19.130712, 1.06436, 96685, 96685, 0
20.185614, 1.054902, 84742, 84742, 0
21.05179, 0.866176, 68518, 68518, 0
22.003826, 0.952036, 89008, 89008, 0
23.008297, 1.004471, 98965, 98965, 0
24.005761, 0.997464, 103243, 103243, 0
25.072982, 1.067221, 102332, 102332, 0
26.184848, 1.111866, 89126, 89126, 0
27.007189, 0.822341, 82430, 82430, 0
28.005869, 0.99868, 125782, 125782, 0
29.327364, 1.321495, 97538, 97538, 0
30.16779, 0.840426, 82841, 82841, 0
31.197429, 1.029639, 96235, 96235, 0
32.274127, 1.076698, 92431, 92431, 0
33.150387, 0.87626, 79385, 79385, 0
34.005384, 0.854997, 82621, 82621, 0
35.005481, 1.000097, 89764, 89764, 0
36.006976, 1.001495, 100937, 100937, 0
37.026064, 1.019088, 88742, 88742, 0
38.007808, 0.981744, 88637, 88637, 0
39.007127, 0.999319, 104365, 104365, 0
40.090034, 1.082907, 99519, 99519, 0
41.183854, 1.09382, 88003, 88003, 0
42.005434, 0.82158, 79117, 79117, 0
43.007646, 1.002212, 102506, 102506, 0
44.111637, 1.103991, 91998, 91998, 0
45.058632, 0.946995, 91265, 91265, 0
46.054675, 0.996043, 89452, 89452, 0
47.01947, 0.964795, 85002, 85002, 0
48.005797, 0.986327, 86198, 86198, 0
49.006418, 1.000621, 94984, 94984, 0
50.006586, 1.000168, 97582, 97582, 0
51.007263, 1.000677, 88698, 88698, 0
52.006163, 0.9989, 88939, 88939, 0
53.004617, 0.998454, 90847, 90847, 0
54.0073, 1.002683, 95254, 95254, 0
55.0065, 0.9992, 93514, 93514, 0
56.006584, 1.000084, 87412, 87412, 0
57.006017, 0.999433, 82312, 82312, 0
58.006333, 1.000316, 99449, 99449, 0
59.00741, 1.001077, 89433, 89433, 0
60.006222, 0.998812, 95101, 95101, 0
61.004567, 0.998345, 99209, 99209, 0
62.018309, 1.013742, 95355, 95355, 0
63.048676, 1.030367, 87105, 87105, 0
64.005281, 0.956605, 92347, 92347, 0
65.006499, 1.001218, 94706, 94706, 0
66.007456, 1.000957, 88876, 88876, 0
67.004531, 0.997075, 94466, 94466, 0
68.008204, 1.003673, 89806, 89806, 0
69.004866, 0.996662, 94077, 94077, 0
70.004163, 0.999297, 89797, 89797, 0
71.002429, 0.998266, 90095, 90095, 0
72.005526, 1.003097, 95404, 95404, 0
73.001763, 0.996237, 89420, 89420, 0
74.004164, 1.002401, 95530, 95530, 0
75.004319, 1.000155, 85325, 85325, 0
76.004956, 1.000637, 102884, 102884, 0
77.014189, 1.009233, 94984, 94984, 0
78.050518, 1.036329, 93475, 93475, 0
79.051465, 1.000947, 91777, 91777, 0
80.035285, 0.98382, 90394, 90394, 0
81.027511, 0.992226, 85243, 85243, 0
82.003933, 0.976422, 86570, 86570, 0
83.003889, 0.999956, 101070, 101070, 0
84.00163, 0.997741, 95577, 95577, 0
85.014317, 1.012687, 88313, 88313, 0
86.004484, 0.990167, 97419, 97419, 0
87.062795, 1.058311, 97550, 97550, 0
88.105422, 1.042627, 95046, 95046, 0
89.118599, 1.013177, 101392, 101392, 0
90.242047, 1.123448, 93346, 93346, 0
91.11011, 0.868063, 83039, 83039, 0
92.178287, 1.068177, 99307, 99307, 0
93.234635, 1.056348, 90288, 90288, 0
94.046699, 0.812064, 81602, 81602, 0
95.022512, 0.975813, 91647, 91647, 0
96.017868, 0.995356, 87915, 87915, 0
97.003041, 0.985173, 95067, 95067, 0
