elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.008166, 1.008166, 120683, 2, 10.5, 6, 15, 21, 35, 7049, 0
2.770337, 1.762171, 54871, 3, 10.3, 7, 13, 21, 29, 8014, 0
3.586183, 0.815846, 50141, 1, 9.8, 7, 12, 20, 30, 8014, 0
4.694414, 1.108231, 36466, 3, 11.6, 7, 12, 20, 1888, 5118, 0
5.192671, 0.498257, 41727, 3, 10.6, 7, 12, 18, 1741, 5482, 0
6.005898, 0.813227, 45255, 3, 20.2, 7, 12, 19, 35, 754318, 0
7.044339, 1.038441, 64854, 0, 20.9, 7, 13, 21, 43, 754318, 0
8.260296, 1.215957, 68264, 0, 11.2, 7, 13, 21, 41, 11617, 0
9.288032, 1.027736, 24763, 0, 11.8, 7, 13, 21, 57, 12137, 0
10.279971, 0.991939, 51249, 0, 21.8, 7, 13, 20, 62, 647576, 0
11.036595, 0.756624, 24374, 3, 22.0, 7, 14, 23, 67, 647576, 0
12.007112, 0.970517, 39649, 3, 11.3, 7, 14, 24, 72, 13833, 0
13.009316, 1.002204, 47126, 0, 19.3, 8, 15, 25, 69, 363866, 0
14.007856, 0.99854, 47615, 4, 13.0, 8, 15, 25, 47, 6403, 0
15.007461, 0.999605, 41819, 0, 12.8, 8, 15, 24, 47, 11868, 0
16.005971, 0.99851, 42784, 3, 11.0, 7, 13, 21, 72, 8364, 0
17.007355, 1.001384, 55448, 0, 10.7, 7, 13, 20, 42, 7542, 0
18.048775, 1.04142, 37791, 3, 12.2, 8, 14, 22, 50, 6763, 0
19.00942, 0.960645, 48687, 0, 11.5, 7, 14, 22, 2026, 6763, 0
20.008695, 0.999275, 39989, 3, 12.0, 7, 14, 22, 2134, 4325, 0
21.009985, 1.00129, 44396, 3, 19.2, 7, 14, 21, 2311, 452281, 0
22.012367, 1.002382, 50519, 0, 19.1, 7, 13, 21, 2450, 452281, 0
23.008714, 0.996347, 40811, 0, 12.4, 7, 14, 22, 2295, 14798, 0
24.008819, 1.000105, 50747, 0, 12.9, 8, 14, 23, 2239, 22883, 0
25.080366, 1.071547, 62414, 0, 18.3, 8, 14, 24, 2091, 421023, 0
26.109795, 1.029429, 39313, 0, 13.0, 8, 14, 24, 2068, 28994, 0
27.011987, 0.902192, 22434, 3, 13.6, 8, 15, 24, 2242, 28994, 0
28.010585, 0.998598, 39923, 3, 13.3, 8, 15, 24, 2449, 8637, 0
29.010477, 0.999892, 45231, 4, 13.0, 8, 15, 25, 2335, 9563, 0
30.011235, 1.000758, 42772, 0, 11.5, 8, 14, 23, 1919, 4132, 0
31.009137, 0.997902, 55992, 3, 11.3, 7, 13, 22, 1763, 11704, 0
32.098664, 1.089527, 58328, 0, 12.0, 7, 13, 22, 1947, 12084, 0
33.008697, 0.910033, 30395, 3, 12.0, 8, 14, 21, 1990, 8122, 0
34.010005, 1.001308, 39480, 0, 11.2, 7, 14, 21, 2024, 8902, 0
35.008557, 0.998552, 50311, 0, 11.9, 7, 13, 22, 2513, 9860, 0
36.008502, 0.999945, 51315, 0, 11.9, 7, 14, 23, 1974, 4113, 0
37.007486, 0.998984, 33909, 0, 11.8, 8, 14, 22, 1947, 9805, 0
38.011527, 1.004041, 42198, 0, 10.8, 7, 13, 20, 1802, 6152, 0
39.007001, 0.995474, 43274, 3, 13.0, 7, 14, 24, 2589, 7581, 0
40.006235, 0.999234, 52501, 3, 11.9, 7, 14, 23, 2273, 9422, 0
41.009844, 1.003609, 58157, 3, 11.4, 7, 14, 23, 1796, 9422, 0
42.222237, 1.212393, 67351, 3, 11.6, 7, 14, 22, 1930, 2983, 0
43.124131, 0.901894, 40421, 0, 11.3, 7, 14, 22, 1695, 7246, 0
44.259458, 1.135327, 59623, 3, 11.3, 7, 14, 22, 1695, 8731, 0
45.104735, 0.845277, 27326, 3, 11.4, 7, 14, 22, 1824, 3777, 0
46.00871, 0.903975, 51850, 3, 11.0, 7, 13, 20, 1807, 10478, 0
47.010164, 1.001454, 55764, 3, 11.7, 7, 14, 22, 1788, 15596, 0
48.169116, 1.158952, 60242, 3, 11.5, 7, 14, 22, 1794, 4957, 0
