elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.008166, 1.008166, 151297, 0, 15.6, 10, 17, 22, 3896, 11868, 0
2.770337, 1.762171, 42026, 0, 19.1, 10, 16, 22, 2017, 408619, 0
3.586183, 0.815846, 59424, 0, 18.8, 9, 13, 22, 2018, 408619, 0
4.694414, 1.108231, 22643, 5, 15.6, 9, 13, 22, 2109, 8098, 0
5.192671, 0.498257, 45465, 0, 13.5, 9, 12, 21, 3183, 7817, 0
6.005898, 0.813227, 60984, 0, 13.8, 10, 14, 22, 2398, 14668, 0
7.044339, 1.038441, 68856, 0, 14.5, 10, 16, 23, 2761, 14668, 0
8.260296, 1.215957, 45701, 5, 16.5, 10, 16, 24, 3765, 10967, 0
9.288032, 1.027736, 37706, 5, 19.9, 10, 16, 24, 3714, 336191, 0
10.279971, 0.991939, 35141, 0, 16.1, 10, 16, 26, 3393, 11689, 0
11.036595, 0.756624, 31747, 0, 16.7, 10, 16, 27, 3778, 14195, 0
12.007112, 0.970517, 40765, 5, 17.7, 11, 16, 28, 4250, 24328, 0
13.009316, 1.002204, 52829, 6, 18.4, 12, 18, 27, 4289, 24328, 0
14.007856, 0.99854, 46666, 0, 18.2, 12, 18, 27, 4332, 21859, 0
15.007461, 0.999605, 32057, 0, 21.1, 11, 14, 25, 3611, 373533, 0
16.005971, 0.99851, 60345, 0, 19.8, 10, 12, 23, 3437, 373533, 0
17.007355, 1.001384, 48452, 0, 15.3, 10, 12, 23, 3372, 11483, 0
18.048775, 1.04142, 37444, 0, 17.7, 11, 13, 24, 3464, 11483, 0
19.00942, 0.960645, 40833, 0, 22.9, 10, 16, 25, 2586, 496345, 0
20.008695, 0.999275, 42875, 0, 23.5, 10, 16, 25, 2634, 496345, 0
21.009985, 1.00129, 52670, 0, 15.6, 10, 15, 24, 2599, 23493, 0
22.012367, 1.002382, 38297, 0, 15.5, 10, 16, 25, 2558, 8788, 0
23.008714, 0.996347, 52849, 0, 21.6, 11, 15, 25, 2622, 411786, 0
24.008819, 1.000105, 54178, 5, 27.6, 11, 15, 25, 2389, 565276, 0
25.080366, 1.071547, 52189, 0, 27.3, 12, 18, 26, 2195, 612093, 0
26.109795, 1.029429, 25219, 6, 45.6, 11, 18, 29, 2391, 612093, 0
27.011987, 0.902192, 29458, 6, 41.1, 11, 18, 30, 2913, 612093, 0
28.010585, 0.998598, 42771, 6, 31.2, 12, 18, 29, 2872, 525283, 0
29.010477, 0.999892, 40243, 0, 28.9, 12, 18, 28, 2630, 451645, 0
30.011235, 1.000758, 55046, 0, 29.1, 11, 17, 27, 2650, 451645, 0
31.009137, 0.997902, 64229, 0, 16.4, 11, 17, 26, 2097, 9591, 0
32.098664, 1.089527, 34952, 6, 16.4, 11, 17, 25, 2212, 12813, 0
33.008697, 0.910033, 44493, 0, 19.6, 11, 17, 25, 2325, 289494, 0
34.010005, 1.001308, 33321, 0, 20.2, 10, 16, 25, 2628, 289494, 0
35.008557, 0.998552, 56865, 0, 20.9, 10, 16, 26, 2605, 373359, 0
36.008502, 0.999945, 41690, 0, 26.1, 11, 17, 27, 2249, 419458, 0
37.007486, 0.998984, 42566, 0, 29.4, 11, 17, 26, 2506, 486227, 0
38.011527, 1.004041, 41724, 0, 24.5, 10, 16, 26, 2803, 486227, 0
39.007001, 0.995474, 29707, 5, 17.6, 10, 17, 28, 2654, 9355, 0
40.006235, 0.999234, 68796, 5, 16.6, 10, 17, 27, 2481, 9355, 0
41.009844, 1.003609, 70609, 0, 20.8, 11, 17, 26, 2115, 461087, 0
42.222237, 1.212393, 45620, 0, 16.5, 11, 17, 25, 2075, 13269, 0
43.124131, 0.901894, 56355, 0, 16.7, 11, 17, 25, 2133, 13269, 0
44.259458, 1.135327, 41268, 0, 16.6, 11, 17, 25, 2147, 9009, 0
45.104735, 0.845277, 40632, 0, 16.1, 10, 16, 24, 2269, 9009, 0
46.00871, 0.903975, 50809, 3, 15.5, 10, 17, 24, 2176, 10783, 0
47.010164, 1.001454, 62707, 3, 16.6, 11, 17, 25, 2067, 23623, 0
48.169116, 1.158952, 39287, 0, 26.8, 11, 17, 26, 2175, 491866, 0
49.011065, 0.841949, 34245, 0, 23.0, 11, 17, 25, 2299, 491866, 0
50.00805, 0.996985, 46206, 0, 21.6, 9, 14, 24, 2706, 491866, 0
51.012945, 1.004895, 38560, 0, 16.3, 10, 16, 27, 2777, 10408, 0
52.007467, 0.994522, 39577, 0, 17.6, 12, 18, 28, 2515, 10408, 0
53.012966, 1.005499, 42746, 0, 21.7, 11, 18, 28, 2355, 363851, 0
54.01095, 0.997984, 47900, 1, 21.9, 11, 17, 29, 2684, 363851, 0
55.008529, 0.997579, 56583, 0, 21.1, 11, 17, 25, 2254, 437272, 0
56.075767, 1.067238, 37936, 0, 23.4, 11, 17, 27, 2634, 437272, 0
57.109282, 1.033515, 30355, 0, 18.9, 11, 17, 28, 2834, 18082, 0
58.011463, 0.902181, 66267, 0, 21.1, 11, 16, 26, 2497, 334913, 0
59.124938, 1.113475, 59150, 0, 19.4, 11, 16, 25, 2249, 334913, 0
60.267288, 1.14235, 46275, 5, 23.8, 11, 14, 24, 2197, 509974, 0
61.190784, 0.923496, 46925, 0, 34.9, 10, 16, 24, 2128, 509974, 0
62.060009, 0.869225, 61042, 0, 30.2, 10, 16, 24, 2102, 509974, 0
63.193575, 1.133566, 39737, 0, 16.2, 11, 17, 26, 2052, 13589, 0
64.033127, 0.839552, 52485, 0, 20.2, 11, 17, 26, 2106, 385353, 0
65.060013, 1.026886, 57688, 0, 20.0, 11, 17, 25, 2093, 385353, 0
66.126977, 1.066964, 48612, 0, 26.2, 10, 16, 24, 2093, 654108, 0
67.244641, 1.117664, 43226, 0, 17.4, 11, 17, 26, 2210, 11691, 0
68.093864, 0.849223, 52846, 0, 17.4, 11, 17, 26, 2211, 11691, 0
69.154192, 1.060328, 38454, 6, 16.9, 11, 17, 24, 2390, 3267, 0
70.027989, 0.873797, 35438, 6, 17.5, 11, 16, 24, 2528, 26232, 0
71.009976, 0.981987, 30095, 0, 18.2, 11, 16, 25, 2657, 26232, 0
72.009171, 0.999195, 25275, 6, 19.0, 11, 17, 29, 3372, 25694, 0
73.012675, 1.003504, 44876, 0, 19.8, 12, 19, 32, 3304, 25694, 0
74.010079, 0.997404, 36986, 0, 20.4, 12, 19, 32, 3196, 19824, 0
75.009039, 0.99896, 52667, 0, 18.2, 12, 19, 29, 2496, 5898, 0
76.008767, 0.999728, 66423, 0, 21.5, 11, 18, 26, 2194, 467547, 0
77.124806, 1.116039, 67896, 0, 20.3, 11, 17, 25, 2116, 467547, 0
78.393687, 1.268881, 62920, 0, 26.0, 10, 16, 24, 2074, 762232, 0
79.56377, 1.170083, 69881, 0, 15.5, 10, 16, 24, 2023, 20721, 0
80.880591, 1.316821, 54221, 0, 15.2, 10, 16, 24, 2010, 20721, 0
81.90737, 1.026779, 45866, 0, 20.7, 11, 16, 25, 2021, 522458, 0
