elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.001853, 1.001853, 239133, 0, 4.7, 3, 5, 10, 729, 7180, 0
2.801333, 1.79948, 152251, 0, 4.8, 3, 5, 6, 833, 4295, 0
3.751881, 0.950548, 115629, 0, 5.5, 3, 5, 6, 902, 16990, 0
4.778069, 1.026188, 146327, 0, 4.8, 3, 5, 6, 755, 16990, 0
6.092226, 1.314157, 208045, 0, 5.0, 3, 5, 6, 751, 21749, 0
7.80552, 1.713294, 179679, 0, 5.2, 3, 5, 6, 860, 23032, 0
9.056505, 1.250985, 147369, 0, 5.3, 3, 5, 6, 882, 23032, 0
10.522148, 1.465643, 179957, 1, 5.3, 3, 5, 6, 742, 35900, 0
12.173569, 1.651421, 258913, 0, 7.7, 3, 5, 7, 786, 543967, 0
14.070485, 1.896916, 218607, 0, 5.0, 3, 5, 7, 751, 16284, 0
15.760624, 1.690139, 185193, 0, 5.3, 3, 6, 7, 773, 25105, 0
17.09906, 1.338436, 204208, 0, 5.0, 3, 5, 6, 586, 25105, 0
19.083437, 1.984377, 221014, 0, 5.0, 3, 5, 6, 677, 6409, 0
20.686114, 1.602677, 191702, 0, 5.6, 3, 5, 7, 921, 35258, 0
21.843042, 1.156928, 146243, 0, 5.3, 3, 6, 7, 735, 22628, 0
23.140001, 1.296959, 166106, 0, 5.2, 3, 6, 7, 610, 22628, 0
24.560181, 1.42018, 149666, 1, 5.2, 3, 6, 7, 680, 10678, 0
26.133577, 1.573396, 248260, 0, 5.2, 3, 5, 7, 752, 25692, 0
27.935516, 1.801939, 211665, 0, 5.3, 3, 6, 7, 721, 36842, 0
29.55683, 1.621314, 145517, 0, 5.5, 3, 6, 7, 628, 12457, 0
30.813251, 1.256421, 195133, 0, 7.9, 3, 6, 7, 23, 517929, 0
32.305439, 1.492188, 137619, 0, 5.5, 3, 6, 7, 556, 15638, 0
33.475753, 1.170314, 150638, 0, 5.4, 3, 6, 7, 754, 16313, 0
34.836356, 1.360603, 183181, 0, 5.1, 3, 6, 7, 769, 6431, 0
36.224271, 1.387915, 211033, 0, 5.4, 3, 6, 7, 740, 28052, 0
38.316888, 2.092617, 191400, 0, 5.7, 3, 6, 7, 941, 3360, 0
39.506251, 1.189363, 157205, 0, 4.9, 3, 6, 6, 494, 2422, 0
40.789797, 1.283546, 192164, 0, 5.2, 3, 6, 6, 25, 24150, 0
42.115274, 1.325477, 226449, 0, 7.2, 3, 6, 7, 613, 479438, 0
43.797299, 1.682025, 157475, 0, 5.6, 3, 6, 7, 759, 38670, 0
45.345277, 1.547978, 154573, 0, 5.0, 3, 6, 7, 19, 15418, 0
46.600827, 1.25555, 166741, 0, 5.3, 3, 6, 7, 47, 19475, 0
48.317289, 1.716462, 176246, 0, 5.3, 3, 6, 7, 23, 3298, 0
49.355293, 1.038004, 144494, 0, 5.1, 3, 6, 7, 20, 22636, 0
50.830746, 1.475453, 197229, 0, 5.0, 3, 6, 7, 21, 13413, 0
52.196576, 1.36583, 172381, 0, 5.3, 3, 6, 7, 669, 10275, 0
53.871196, 1.67462, 173168, 0, 5.6, 3, 6, 7, 830, 23269, 0
55.056142, 1.184946, 171981, 0, 8.5, 3, 6, 7, 782, 642849, 0
56.657545, 1.601403, 182065, 0, 5.0, 3, 5, 6, 22, 34234, 0
57.982757, 1.325212, 183777, 0, 5.2, 3, 6, 7, 600, 44804, 0
59.761783, 1.779026, 144573, 0, 5.7, 3, 6, 7, 929, 2977, 0
