elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.001853, 1.001853, 327028, 0, 6.6, 4, 6, 12, 1017, 35616, 0
2.801333, 1.79948, 110542, 0, 8.0, 5, 6, 7, 1095, 9969, 0
3.751881, 0.950548, 128300, 0, 6.6, 4, 6, 9, 907, 29446, 0
4.778069, 1.026188, 174603, 0, 7.2, 4, 6, 10, 858, 46282, 0
6.092226, 1.314157, 215366, 0, 7.3, 4, 6, 9, 874, 46282, 0
7.80552, 1.713294, 148772, 0, 7.9, 5, 6, 9, 1011, 36988, 0
9.056505, 1.250985, 186367, 0, 9.4, 4, 6, 10, 911, 463691, 0
10.522148, 1.465643, 208030, 0, 9.0, 4, 6, 10, 846, 463691, 0
12.173569, 1.651421, 238118, 0, 7.3, 5, 6, 10, 882, 29784, 0
14.070485, 1.896916, 202107, 0, 7.3, 5, 6, 11, 875, 22517, 0
15.760624, 1.690139, 169359, 2, 10.7, 5, 6, 9, 1203, 572434, 0
17.09906, 1.338436, 250833, 0, 10.2, 5, 7, 10, 1385, 572434, 0
19.083437, 1.984377, 198518, 0, 10.0, 5, 6, 9, 1347, 499915, 0
20.686114, 1.602677, 145190, 2, 7.2, 5, 6, 10, 1331, 5551, 0
21.843042, 1.156928, 160365, 0, 7.3, 5, 6, 8, 1238, 22840, 0
23.140001, 1.296959, 171702, 0, 7.2, 4, 6, 9, 1333, 3445, 0
24.560181, 1.42018, 198311, 0, 9.2, 4, 6, 9, 979, 501481, 0
26.133577, 1.573396, 227370, 0, 7.3, 5, 6, 10, 878, 34677, 0
27.935516, 1.801939, 188703, 0, 7.2, 5, 6, 8, 1299, 36823, 0
29.55683, 1.621314, 153209, 0, 7.8, 5, 6, 11, 1398, 36990, 0
30.813251, 1.256421, 178397, 0, 7.6, 5, 6, 8, 1352, 22213, 0
32.305439, 1.492188, 136855, 0, 7.2, 5, 6, 9, 1213, 24231, 0
33.475753, 1.170314, 175162, 0, 7.5, 5, 6, 10, 1117, 34287, 0
34.836356, 1.360603, 170691, 0, 10.2, 5, 6, 8, 1257, 502511, 0
36.224271, 1.387915, 258289, 0, 9.8, 5, 6, 10, 1253, 502511, 0
38.316888, 2.092617, 150695, 0, 7.3, 5, 6, 9, 1147, 46058, 0
39.506251, 1.189363, 164196, 0, 7.7, 5, 6, 9, 1351, 29864, 0
40.789797, 1.283546, 166122, 1, 7.4, 5, 6, 8, 1228, 23849, 0
42.115274, 1.325477, 208913, 0, 7.4, 5, 6, 9, 1186, 2453, 0
43.797299, 1.682025, 191298, 0, 9.8, 5, 6, 9, 1177, 434837, 0
45.345277, 1.547978, 146546, 0, 7.1, 5, 6, 9, 1407, 22967, 0
46.600827, 1.25555, 202586, 0, 7.4, 5, 6, 10, 1252, 49845, 0
48.317289, 1.716462, 129250, 0, 7.8, 5, 6, 11, 1385, 14332, 0
49.355293, 1.038004, 180074, 0, 9.3, 5, 6, 9, 1322, 462521, 0
50.830746, 1.475453, 169820, 0, 7.6, 5, 6, 9, 1318, 35203, 0
52.196576, 1.36583, 188721, 0, 7.8, 5, 7, 9, 1222, 36765, 0
53.871196, 1.67462, 133757, 0, 8.1, 5, 7, 9, 1339, 34677, 0
55.056142, 1.184946, 196206, 0, 7.6, 5, 6, 9, 1253, 34677, 0
56.657545, 1.601403, 168212, 0, 7.5, 5, 6, 9, 1302, 30992, 0
57.982757, 1.325212, 202253, 0, 7.7, 5, 7, 9, 1289, 25066, 0
59.761783, 1.779026, 112912, 0, 8.0, 5, 6, 12, 1490, 19329, 0
60.732695, 0.970912, 159239, 0, 7.2, 5, 6, 8, 1325, 10180, 0
61.976525, 1.24383, 208269, 0, 7.0, 5, 6, 9, 1171, 24196, 0
63.600749, 1.624224, 167036, 0, 7.0, 5, 6, 9, 1111, 24230, 0
65.042825, 1.442076, 169214, 2, 8.2, 5, 7, 11, 1411, 38479, 0
66.461798, 1.418973, 203606, 0, 9.4, 5, 7, 9, 1308, 485068, 0
