elapsed, window, total, successful, failed
1.001853, 1.001853, 566161, 566161, 0
2.801333, 1.79948, 262793, 262793, 0
3.751881, 0.950548, 243929, 243929, 0
4.778069, 1.026188, 320930, 320930, 0
6.092226, 1.314157, 423411, 423411, 0
7.80552, 1.713294, 328451, 328451, 0
9.056505, 1.250985, 333736, 333736, 0
10.522148, 1.465643, 387987, 387987, 0
12.173569, 1.651421, 497031, 497031, 0
14.070485, 1.896916, 420714, 420714, 0
15.760624, 1.690139, 354552, 354552, 0
17.09906, 1.338436, 455041, 455041, 0
19.083437, 1.984377, 419532, 419532, 0
20.686114, 1.602677, 336892, 336892, 0
21.843042, 1.156928, 306608, 306608, 0
23.140001, 1.296959, 337808, 337808, 0
24.560181, 1.42018, 347977, 347977, 0
26.133577, 1.573396, 475630, 475630, 0
27.935516, 1.801939, 400368, 400368, 0
29.55683, 1.621314, 298726, 298726, 0
30.813251, 1.256421, 373530, 373530, 0
32.305439, 1.492188, 274474, 274474, 0
33.475753, 1.170314, 325800, 325800, 0
34.836356, 1.360603, 353872, 353872, 0
36.224271, 1.387915, 469322, 469322, 0
38.316888, 2.092617, 342095, 342095, 0
39.506251, 1.189363, 321401, 321401, 0
40.789797, 1.283546, 358286, 358286, 0
42.115274, 1.325477, 435362, 435362, 0
43.797299, 1.682025, 348773, 348773, 0
45.345277, 1.547978, 301119, 301119, 0
46.600827, 1.25555, 369327, 369327, 0
48.317289, 1.716462, 305496, 305496, 0
49.355293, 1.038004, 324568, 324568, 0
50.830746, 1.475453, 367049, 367049, 0
52.196576, 1.36583, 361102, 361102, 0
53.871196, 1.67462, 306925, 306925, 0
55.056142, 1.184946, 368187, 368187, 0
56.657545, 1.601403, 350277, 350277, 0
57.982757, 1.325212, 386030, 386030, 0
59.761783, 1.779026, 257485, 257485, 0
60.732695, 0.970912, 306063, 306063, 0
61.976525, 1.24383, 386759, 386759, 0
63.600749, 1.624224, 328917, 328917, 0
65.042825, 1.442076, 356318, 356318, 0
66.461798, 1.418973, 364858, 364858, 0
68.076753, 1.614955, 396886, 396886, 0
69.68589, 1.609137, 293585, 293585, 0
71.075257, 1.389367, 372055, 372055, 0
72.511601, 1.436344, 361832, 361832, 0
74.054201, 1.5426, 473953, 473953, 0
75.837948, 1.783747, 373600, 373600, 0
77.370073, 1.532125, 243243, 243243, 0
78.594951, 1.224878, 236670, 236670, 0
79.681772, 1.086821, 256979, 256979, 0
80.908896, 1.227124, 348400, 348400, 0
82.340468, 1.431572, 298048, 298048, 0
83.506582, 1.166114, 320780, 320780, 0
84.904945, 1.398363, 340709, 340709, 0
86.3078, 1.402855, 248678, 248678, 0
87.309613, 1.001813, 317465, 317465, 0
88.649782, 1.340169, 307058, 307058, 0
