elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.001995, 1.001995, 118947, 0, 9.2, 5, 11, 21, 73, 5688, 0
2.756572, 1.754577, 53531, 0, 10.1, 6, 13, 20, 68, 5562, 0
3.472453, 0.715881, 34610, 0, 10.6, 6, 15, 20, 2078, 5562, 0
4.302811, 0.830358, 40171, 0, 10.4, 6, 14, 20, 2076, 8485, 0
5.060971, 0.75816, 51472, 0, 10.2, 6, 14, 20, 2042, 8485, 0
6.036747, 0.975776, 54513, 0, 14.5, 6, 13, 20, 2056, 431121, 0
7.096245, 1.059498, 57994, 0, 14.7, 6, 14, 21, 2086, 431121, 0
8.231264, 1.135019, 41792, 0, 10.3, 6, 15, 21, 1989, 11291, 0
9.002574, 0.77131, 52993, 0, 18.1, 6, 14, 21, 2052, 733131, 0
10.033836, 1.031262, 53591, 0, 18.0, 6, 14, 21, 1884, 733131, 0
11.127047, 1.093211, 48232, 3, 11.1, 6, 15, 22, 2137, 25509, 0
12.202388, 1.075341, 38532, 0, 21.3, 7, 14, 22, 2299, 478900, 0
13.003407, 0.801019, 49576, 0, 17.1, 7, 13, 22, 2291, 478900, 0
14.0755, 1.072093, 47083, 3, 16.5, 7, 13, 20, 2123, 478900, 0
15.114895, 1.039395, 45386, 0, 10.3, 6, 13, 20, 1922, 7478, 0
16.181518, 1.066623, 33735, 0, 11.5, 7, 16, 24, 1749, 2932, 0
17.010877, 0.829359, 55650, 0, 14.4, 7, 14, 23, 2188, 275585, 0
18.096045, 1.085168, 49079, 0, 14.1, 6, 12, 21, 2271, 275585, 0
19.201583, 1.105538, 32493, 0, 11.5, 7, 14, 23, 2303, 12136, 0
20.003943, 0.80236, 51924, 0, 10.5, 7, 13, 22, 2061, 12136, 0
21.003092, 0.999149, 47908, 0, 10.5, 6, 13, 21, 1672, 19909, 0
22.003021, 0.999929, 49241, 0, 11.2, 6, 15, 21, 2193, 19909, 0
23.037144, 1.034123, 44974, 3, 11.7, 7, 15, 23, 2239, 10508, 0
24.005702, 0.968558, 42192, 0, 11.4, 7, 16, 23, 2295, 5863, 0
25.003348, 0.997646, 51506, 0, 10.5, 6, 14, 22, 2167, 2706, 0
26.00319, 0.999842, 50135, 0, 11.0, 6, 14, 21, 2278, 10758, 0
27.002824, 0.999634, 49930, 0, 10.9, 6, 15, 22, 2239, 9133, 0
28.005198, 1.002374, 50324, 2, 10.5, 7, 15, 22, 1714, 8159, 0
29.003881, 0.998683, 45961, 0, 11.0, 7, 15, 22, 2267, 7653, 0
30.004358, 1.000477, 47281, 0, 11.4, 7, 15, 22, 2305, 10021, 0
31.009279, 1.004921, 48119, 0, 11.3, 7, 15, 22, 2274, 10021, 0
32.005661, 0.996382, 47995, 0, 11.0, 7, 15, 22, 2249, 9554, 0
33.004767, 0.999106, 53165, 0, 16.6, 6, 15, 22, 2232, 516745, 0
34.061074, 1.056307, 54022, 3, 16.9, 7, 15, 22, 2287, 516745, 0
35.183986, 1.122912, 35568, 0, 11.3, 7, 16, 23, 2314, 7533, 0
36.004498, 0.820512, 49688, 0, 11.2, 7, 15, 23, 2319, 7533, 0
37.002649, 0.998151, 46630, 0, 11.2, 7, 15, 22, 2313, 10909, 0
38.003006, 1.000357, 47592, 0, 11.2, 7, 15, 22, 2287, 10909, 0
39.004708, 1.001702, 49471, 0, 11.2, 7, 15, 22, 2215, 16149, 0
40.002983, 0.998275, 47410, 0, 11.3, 7, 16, 22, 2201, 24342, 0
41.21548, 1.212497, 23669, 0, 11.2, 7, 15, 23, 2240, 4478, 0
42.003302, 0.787822, 48428, 0, 11.2, 7, 14, 23, 2300, 4478, 0
43.005587, 1.002285, 53415, 0, 14.9, 7, 14, 22, 2313, 330958, 0
44.005972, 1.000385, 41804, 0, 22.3, 7, 15, 23, 2355, 587380, 0
45.00518, 0.999208, 46856, 0, 18.6, 7, 15, 23, 2322, 587380, 0
46.003145, 0.997965, 53560, 0, 10.8, 7, 14, 22, 2147, 7162, 0
47.053275, 1.05013, 45852, 0, 10.6, 6, 13, 22, 2228, 11426, 0
48.032321, 0.979046, 42528, 3, 11.4, 7, 14, 22, 2313, 11426, 0
49.003979, 0.971658, 43995, 0, 11.8, 7, 15, 23, 2396, 10362, 0
50.016356, 1.012377, 49736, 3, 11.2, 7, 16, 23, 2273, 10362, 0
51.00302, 0.986664, 45651, 0, 11.0, 7, 16, 23, 1690, 9255, 0
52.004472, 1.001452, 50672, 3, 11.2, 7, 15, 22, 2261, 18225, 0
53.004595, 1.000123, 45948, 3, 11.3, 7, 15, 22, 2313, 11153, 0
