elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.001995, 1.001995, 150264, 0, 13.0, 8, 16, 22, 2749, 10745, 0
2.756572, 1.754577, 36859, 4, 13.8, 9, 17, 21, 2158, 11833, 0
3.472453, 0.715881, 43256, 4, 13.8, 9, 17, 21, 2154, 11833, 0
4.302811, 0.830358, 39348, 0, 14.5, 9, 17, 21, 2174, 10532, 0
5.060971, 0.75816, 51651, 0, 14.6, 9, 17, 21, 2194, 21422, 0
6.036747, 0.975776, 54675, 1, 14.2, 9, 17, 22, 2164, 24107, 0
7.096245, 1.059498, 58717, 0, 14.6, 9, 17, 22, 2179, 24107, 0
8.231264, 1.135019, 38617, 0, 14.3, 9, 17, 22, 2187, 3695, 0
9.002574, 0.77131, 53846, 4, 14.6, 9, 17, 22, 2220, 11579, 0
10.033836, 1.031262, 51599, 0, 14.6, 9, 18, 23, 2248, 11579, 0
11.127047, 1.093211, 50928, 5, 16.7, 10, 19, 24, 2385, 26314, 0
12.202388, 1.075341, 35652, 0, 16.5, 10, 18, 24, 2361, 26314, 0
13.003407, 0.801019, 44922, 0, 16.8, 10, 16, 24, 2382, 25964, 0
14.0755, 1.072093, 51540, 5, 15.1, 9, 16, 23, 2332, 25964, 0
15.114895, 1.039395, 46129, 0, 16.0, 10, 19, 26, 2311, 12368, 0
16.181518, 1.066623, 31059, 0, 17.6, 11, 20, 28, 2614, 12368, 0
17.010877, 0.829359, 58928, 0, 16.1, 9, 16, 24, 2343, 26323, 0
18.096045, 1.085168, 48315, 0, 15.9, 10, 17, 24, 2391, 22631, 0
19.201583, 1.105538, 31461, 0, 15.5, 10, 18, 25, 2387, 12485, 0
20.003943, 0.80236, 48729, 0, 15.3, 9, 17, 26, 2371, 23880, 0
21.003092, 0.999149, 52006, 5, 22.7, 10, 19, 24, 2320, 515176, 0
22.003021, 0.999929, 49212, 5, 22.3, 10, 19, 24, 2312, 515176, 0
23.037144, 1.034123, 43827, 1, 24.7, 10, 20, 26, 2507, 522705, 0
24.005702, 0.968558, 42694, 1, 23.7, 10, 19, 24, 2389, 522705, 0
25.003348, 0.997646, 49904, 2, 14.5, 9, 18, 23, 2330, 7500, 0
26.00319, 0.999842, 50615, 0, 15.2, 9, 19, 24, 2312, 16875, 0
27.002824, 0.999634, 49617, 0, 15.6, 10, 19, 24, 2336, 11276, 0
28.005198, 1.002374, 48595, 5, 15.5, 10, 19, 24, 2356, 24901, 0
29.003881, 0.998683, 44478, 0, 15.3, 10, 19, 24, 2391, 2759, 0
30.004358, 1.000477, 48369, 0, 16.1, 10, 18, 24, 2389, 25599, 0
31.009279, 1.004921, 51346, 0, 21.7, 10, 19, 24, 2372, 378477, 0
32.005661, 0.996382, 46259, 2, 15.4, 10, 19, 24, 2355, 10813, 0
33.004767, 0.999106, 54670, 0, 15.7, 10, 19, 24, 2355, 24744, 0
34.061074, 1.056307, 52696, 3, 17.4, 10, 19, 24, 2394, 25259, 0
35.183986, 1.122912, 32091, 3, 17.1, 10, 19, 25, 2454, 25259, 0
36.004498, 0.820512, 51157, 0, 15.5, 10, 19, 24, 2415, 24470, 0
37.002649, 0.998151, 46869, 5, 16.5, 10, 19, 24, 2403, 24470, 0
38.003006, 1.000357, 48882, 4, 15.9, 10, 19, 24, 2365, 24348, 0
39.004708, 1.001702, 48963, 0, 16.6, 10, 19, 24, 2398, 24348, 0
40.002983, 0.998275, 43095, 0, 22.9, 10, 19, 23, 2364, 535163, 0
41.21548, 1.212497, 19679, 0, 33.4, 10, 18, 24, 2424, 535163, 0
42.003302, 0.787822, 52570, 0, 14.4, 9, 18, 24, 2408, 6767, 0
43.005587, 1.002285, 54630, 5, 17.0, 10, 18, 24, 2492, 21968, 0
44.005972, 1.000385, 43531, 0, 22.6, 10, 19, 24, 2526, 387508, 0
45.00518, 0.999208, 46449, 5, 15.2, 10, 18, 23, 2392, 6087, 0
46.003145, 0.997965, 53921, 0, 14.1, 9, 17, 23, 2318, 9236, 0
47.053275, 1.05013, 44218, 5, 15.0, 9, 18, 23, 2375, 11327, 0
48.032321, 0.979046, 41806, 0, 16.9, 10, 19, 24, 2493, 26263, 0
49.003979, 0.971658, 41034, 5, 16.8, 10, 19, 24, 2452, 26263, 0
50.016356, 1.012377, 57041, 5, 23.0, 10, 19, 26, 2421, 518596, 0
51.00302, 0.986664, 42964, 5, 30.5, 10, 19, 24, 2380, 518596, 0
52.004472, 1.001452, 51515, 0, 23.2, 10, 18, 24, 2379, 553671, 0
53.004595, 1.000123, 44826, 5, 24.9, 10, 19, 24, 2416, 553671, 0
54.003957, 0.999362, 47465, 0, 23.3, 10, 19, 25, 2506, 423673, 0
55.003923, 0.999966, 45383, 0, 23.5, 9, 17, 26, 2426, 524988, 0
56.005444, 1.001521, 46387, 0, 23.5, 10, 19, 24, 2397, 524988, 0
57.004406, 0.998962, 49920, 0, 22.5, 10, 19, 24, 2420, 405642, 0
58.003396, 0.99899, 45667, 0, 16.4, 10, 19, 25, 2406, 9320, 0
59.004954, 1.001558, 45811, 0, 16.8, 10, 19, 25, 2411, 24403, 0
60.003119, 0.998165, 47924, 0, 16.6, 10, 19, 25, 2485, 24403, 0
61.005341, 1.002222, 41496, 0, 16.3, 10, 19, 25, 2492, 16047, 0
62.004766, 0.999425, 48891, 0, 15.8, 10, 19, 24, 2450, 19618, 0
63.004912, 1.000146, 50648, 0, 15.5, 10, 19, 24, 2410, 10703, 0
64.004962, 1.00005, 50488, 0, 29.9, 10, 19, 24, 2374, 600709, 0
65.044757, 1.039795, 43996, 0, 39.7, 10, 19, 25, 2399, 958182, 0
66.003309, 0.958552, 42855, 3, 39.3, 10, 19, 25, 2418, 958182, 0
67.003893, 1.000584, 50484, 3, 23.4, 10, 19, 25, 2436, 492946, 0
68.005955, 1.002062, 46751, 0, 16.8, 10, 20, 26, 2481, 11284, 0
69.003839, 0.997884, 47117, 0, 16.8, 10, 19, 25, 2425, 24035, 0
70.00577, 1.001931, 43062, 5, 17.1, 10, 19, 26, 2403, 24035, 0
