elapsed, window, total, successful, failed
1.001995, 1.001995, 269211, 269211, 0
2.756572, 1.754577, 90390, 90390, 0
3.472453, 0.715881, 77866, 77866, 0
4.302811, 0.830358, 79519, 79519, 0
5.060971, 0.75816, 103123, 103123, 0
6.036747, 0.975776, 109188, 109188, 0
7.096245, 1.059498, 116711, 116711, 0
8.231264, 1.135019, 80409, 80409, 0
9.002574, 0.77131, 106839, 106839, 0
10.033836, 1.031262, 105190, 105190, 0
11.127047, 1.093211, 99160, 99160, 0
12.202388, 1.075341, 74184, 74184, 0
13.003407, 0.801019, 94498, 94498, 0
14.0755, 1.072093, 98623, 98623, 0
15.114895, 1.039395, 91515, 91515, 0
16.181518, 1.066623, 64794, 64794, 0
17.010877, 0.829359, 114578, 114578, 0
18.096045, 1.085168, 97394, 97394, 0
19.201583, 1.105538, 63954, 63954, 0
20.003943, 0.80236, 100653, 100653, 0
21.003092, 0.999149, 99914, 99914, 0
22.003021, 0.999929, 98453, 98453, 0
23.037144, 1.034123, 88801, 88801, 0
24.005702, 0.968558, 84886, 84886, 0
25.003348, 0.997646, 101410, 101410, 0
26.00319, 0.999842, 100750, 100750, 0
27.002824, 0.999634, 99547, 99547, 0
28.005198, 1.002374, 98919, 98919, 0
29.003881, 0.998683, 90439, 90439, 0
30.004358, 1.000477, 95650, 95650, 0
31.009279, 1.004921, 99465, 99465, 0
32.005661, 0.996382, 94254, 94254, 0
33.004767, 0.999106, 107835, 107835, 0
34.061074, 1.056307, 106718, 106718, 0
35.183986, 1.122912, 67659, 67659, 0
36.004498, 0.820512, 100845, 100845, 0
37.002649, 0.998151, 93499, 93499, 0
38.003006, 1.000357, 96474, 96474, 0
39.004708, 1.001702, 98434, 98434, 0
40.002983, 0.998275, 90505, 90505, 0
41.21548, 1.212497, 43348, 43348, 0
42.003302, 0.787822, 100998, 100998, 0
43.005587, 1.002285, 108045, 108045, 0
44.005972, 1.000385, 85335, 85335, 0
45.00518, 0.999208, 93305, 93305, 0
46.003145, 0.997965, 107481, 107481, 0
