elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.001344, 1.001344, 183937, 1, 4.5, 2, 3, 9, 21, 9510, 0
2.313831, 1.312487, 132133, 0, 4.2, 2, 3, 5, 547, 15033, 0
3.781928, 1.468097, 205599, 0, 4.1, 2, 3, 5, 889, 8826, 0
5.07242, 1.290492, 129709, 1, 4.1, 2, 3, 5, 874, 2575, 0
6.191901, 1.119481, 145656, 0, 4.1, 2, 3, 5, 892, 6798, 0
7.446698, 1.254797, 155644, 0, 4.0, 2, 3, 5, 887, 19083, 0
8.48548, 1.038782, 122930, 0, 4.5, 2, 3, 5, 914, 20995, 0
9.553911, 1.068431, 134476, 0, 4.5, 2, 3, 5, 893, 20995, 0
10.727801, 1.17389, 156918, 0, 4.4, 2, 3, 5, 906, 14641, 0
12.104812, 1.377011, 150636, 0, 8.5, 2, 3, 5, 942, 578864, 0
13.411502, 1.30669, 187403, 0, 6.3, 2, 3, 5, 804, 461728, 0
14.818936, 1.407434, 175439, 0, 6.3, 2, 3, 5, 840, 461728, 0
16.664733, 1.845797, 148503, 1, 4.4, 2, 3, 5, 821, 21181, 0
17.819005, 1.154272, 141473, 0, 4.4, 2, 3, 5, 801, 18202, 0
19.298566, 1.479561, 160331, 1, 4.7, 2, 3, 5, 921, 18590, 0
20.679, 1.380434, 181616, 0, 4.1, 2, 3, 5, 849, 6331, 0
21.919225, 1.240225, 198877, 0, 6.6, 2, 3, 5, 858, 566166, 0
23.575134, 1.655909, 164690, 0, 9.2, 2, 3, 5, 874, 986014, 0
25.217672, 1.642538, 129895, 0, 4.7, 2, 3, 5, 1029, 7239, 0
26.496054, 1.278382, 167300, 0, 4.2, 2, 3, 5, 861, 13686, 0
27.673382, 1.177328, 148899, 0, 4.3, 2, 3, 5, 885, 22409, 0
28.968465, 1.295083, 130152, 1, 4.2, 2, 3, 5, 866, 6438, 0
30.066907, 1.098442, 128729, 0, 3.7, 2, 3, 5, 748, 2968, 0
31.281256, 1.214349, 156478, 1, 4.2, 2, 3, 5, 896, 17199, 0
32.651507, 1.370251, 190279, 0, 4.6, 2, 3, 5, 894, 35671, 0
34.235673, 1.584166, 160632, 0, 4.4, 2, 3, 5, 850, 35610, 0
35.759295, 1.523622, 186997, 0, 4.3, 2, 3, 5, 936, 16892, 0
37.098018, 1.338723, 113469, 1, 4.3, 2, 3, 5, 959, 2323, 0
38.250311, 1.152293, 151358, 0, 4.3, 2, 3, 5, 901, 14797, 0
39.615982, 1.365671, 164079, 1, 4.4, 2, 3, 5, 904, 6041, 0
40.809201, 1.193219, 156457, 1, 4.4, 2, 3, 5, 904, 14420, 0
42.287109, 1.477908, 137555, 0, 4.2, 2, 3, 5, 906, 12406, 0
43.62586, 1.338751, 172960, 0, 4.5, 2, 3, 5, 953, 20953, 0
44.973463, 1.347603, 123403, 0, 4.5, 2, 3, 5, 939, 9198, 0
45.997906, 1.024443, 121770, 1, 8.2, 2, 3, 5, 1000, 426200, 0
47.161944, 1.164038, 143756, 0, 4.4, 2, 3, 5, 913, 19890, 0
48.518043, 1.356099, 178026, 0, 4.7, 2, 3, 5, 943, 37298, 0
49.866184, 1.348141, 170484, 0, 4.4, 2, 3, 5, 923, 13105, 0
51.660456, 1.794272, 182554, 0, 4.2, 2, 3, 5, 863, 5225, 0
52.922917, 1.262461, 129363, 1, 8.6, 2, 3, 5, 847, 522805, 0
54.010364, 1.087447, 130051, 0, 4.7, 2, 3, 5, 923, 10272, 0
55.277469, 1.267105, 170099, 0, 4.8, 2, 3, 5, 878, 68118, 0
56.492597, 1.215128, 155887, 0, 4.7, 2, 3, 5, 932, 68118, 0
57.843419, 1.350822, 182760, 0, 4.5, 2, 3, 5, 898, 54024, 0
59.784704, 1.941285, 200846, 0, 4.4, 2, 3, 5, 919, 24482, 0
61.277678, 1.492974, 150297, 1, 4.7, 2, 3, 5, 933, 63183, 0
62.409968, 1.13229, 116801, 0, 4.3, 2, 3, 5, 942, 7863, 0
63.424472, 1.014504, 140876, 0, 4.5, 2, 3, 5, 925, 23425, 0
64.800719, 1.376247, 164647, 0, 4.1, 2, 3, 5, 882, 6072, 0
66.424741, 1.624022, 158625, 0, 4.1, 2, 3, 5, 849, 5738, 0
67.481151, 1.05641, 123168, 0, 4.3, 2, 3, 5, 889, 14290, 0
68.642887, 1.161736, 147096, 0, 4.4, 2, 3, 5, 872, 34984, 0
70.137289, 1.494402, 140812, 1, 4.9, 2, 3, 5, 1000, 43023, 0
71.635876, 1.498587, 201710, 0, 4.7, 2, 3, 5, 908, 64996, 0
73.02216, 1.386284, 124892, 0, 4.5, 2, 3, 5, 858, 32313, 0
74.18445, 1.16229, 140645, 1, 4.9, 2, 3, 5, 979, 34937, 0
75.553573, 1.369123, 178962, 0, 4.2, 2, 3, 5, 824, 29770, 0
76.880324, 1.326751, 174941, 0, 4.5, 2, 3, 5, 891, 29770, 0
78.546122, 1.665798, 161324, 1, 4.3, 2, 3, 5, 895, 3430, 0
79.630479, 1.084357, 164647, 1, 4.6, 2, 3, 5, 895, 64473, 0
81.132445, 1.501966, 134167, 0, 4.4, 2, 3, 5, 895, 16380, 0
82.358925, 1.22648, 140582, 0, 4.1, 2, 3, 5, 839, 12479, 0
83.3518, 0.992875, 123171, 0, 4.5, 2, 3, 5, 909, 31579, 0
84.558471, 1.206671, 153757, 0, 4.9, 2, 3, 5, 891, 66774, 0
85.853537, 1.295066, 152688, 0, 4.3, 2, 3, 5, 914, 10254, 0
87.478215, 1.624678, 171148, 1, 4.3, 2, 3, 5, 897, 4029, 0
88.636464, 1.158249, 155581, 0, 4.3, 2, 3, 5, 876, 14361, 0
90.143274, 1.50681, 149990, 0, 4.8, 2, 3, 5, 924, 33500, 0
91.302843, 1.159569, 143084, 0, 4.7, 2, 3, 5, 889, 33027, 0
92.717612, 1.414769, 175560, 0, 4.3, 2, 3, 5, 920, 6567, 0
94.022576, 1.304964, 142744, 1, 8.8, 2, 3, 5, 806, 645243, 0
95.336911, 1.314335, 163981, 0, 8.2, 2, 3, 5, 856, 645243, 0
96.53101, 1.194099, 130255, 0, 4.2, 2, 3, 5, 881, 21935, 0
97.744647, 1.213637, 163265, 0, 6.5, 2, 3, 5, 871, 437254, 0
99.470652, 1.726005, 153258, 0, 4.5, 2, 3, 5, 1020, 8239, 0
100.611921, 1.141269, 177690, 0, 6.8, 2, 3, 5, 806, 533744, 0
102.351471, 1.73955, 138220, 0, 4.9, 2, 3, 5, 788, 37879, 0
103.284331, 0.93286, 108768, 0, 5.1, 2, 3, 5, 989, 37879, 0
104.688988, 1.404657, 163304, 0, 4.8, 2, 3, 5, 633, 36600, 0
105.968605, 1.279617, 105769, 1, 4.3, 2, 3, 5, 940, 4655, 0
106.894635, 0.92603, 162809, 0, 4.3, 2, 3, 5, 899, 19341, 0
108.560095, 1.66546, 170410, 0, 4.2, 2, 3, 5, 845, 1812, 0
109.738928, 1.178833, 165333, 0, 4.3, 2, 3, 5, 833, 26398, 0
111.234432, 1.495504, 130941, 1, 4.7, 2, 3, 5, 948, 33521, 0
112.51388, 1.279448, 159355, 0, 4.3, 2, 3, 5, 932, 15788, 0
113.765393, 1.251513, 152336, 1, 4.5, 2, 3, 5, 920, 20295, 0
115.322055, 1.556662, 143616, 1, 4.6, 2, 3, 5, 860, 28310, 0
116.592997, 1.270942, 172854, 0, 4.4, 2, 3, 5, 870, 28310, 0
117.98373, 1.390733, 124172, 0, 8.6, 2, 3, 5, 952, 461569, 0
119.059059, 1.075329, 127821, 1, 4.9, 2, 3, 5, 992, 31868, 0
120.222804, 1.163745, 127575, 0, 4.2, 2, 3, 5, 913, 6382, 0
121.534353, 1.311549, 151674, 0, 4.9, 2, 3, 5, 1018, 19680, 0
122.592192, 1.057839, 138130, 0, 4.7, 2, 3, 5, 943, 21044, 0
123.873591, 1.281399, 157117, 0, 4.5, 2, 3, 5, 866, 21044, 0
125.511766, 1.638175, 155695, 0, 4.4, 2, 3, 5, 923, 14765, 0
