elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.001344, 1.001344, 252417, 1, 4.8, 2, 4, 9, 33, 4393, 0
2.313831, 1.312487, 179209, 0, 6.5, 2, 3, 7, 1019, 396508, 0
3.781928, 1.468097, 159154, 1, 4.8, 2, 3, 7, 953, 8498, 0
5.07242, 1.290492, 141384, 0, 4.7, 2, 3, 7, 926, 14232, 0
6.191901, 1.119481, 148634, 0, 4.6, 2, 3, 7, 928, 13190, 0
7.446698, 1.254797, 118843, 0, 5.0, 2, 3, 7, 980, 15003, 0
8.48548, 1.038782, 132612, 1, 4.7, 2, 3, 7, 872, 21012, 0
9.553911, 1.068431, 144223, 0, 4.9, 2, 3, 7, 901, 21104, 0
10.727801, 1.17389, 163127, 0, 5.2, 2, 3, 7, 960, 34332, 0
12.104812, 1.377011, 161564, 0, 5.3, 2, 3, 7, 961, 34332, 0
13.411502, 1.30669, 164698, 0, 5.1, 2, 3, 7, 949, 27263, 0
14.818936, 1.407434, 189373, 0, 5.7, 3, 4, 7, 1326, 24504, 0
16.664733, 1.845797, 124834, 0, 5.7, 3, 4, 7, 1412, 29286, 0
17.819005, 1.154272, 173152, 1, 7.8, 2, 4, 7, 977, 496788, 0
19.298566, 1.479561, 169879, 1, 4.5, 2, 3, 7, 897, 5648, 0
20.679, 1.380434, 144515, 1, 4.6, 2, 3, 7, 917, 3210, 0
21.919225, 1.240225, 198061, 0, 4.6, 2, 3, 7, 924, 14193, 0
23.575134, 1.655909, 181936, 0, 5.4, 2, 3, 8, 1055, 42541, 0
25.217672, 1.642538, 146365, 0, 5.3, 2, 3, 8, 1065, 42541, 0
26.496054, 1.278382, 139814, 0, 5.3, 2, 4, 7, 1207, 23544, 0
27.673382, 1.177328, 151249, 0, 4.7, 2, 3, 7, 944, 8632, 0
28.968465, 1.295083, 132013, 1, 4.7, 2, 3, 7, 960, 3223, 0
30.066907, 1.098442, 142591, 0, 4.9, 2, 3, 7, 944, 27763, 0
31.281256, 1.214349, 164367, 0, 5.0, 2, 4, 7, 965, 7468, 0
32.651507, 1.370251, 185605, 1, 8.1, 2, 4, 7, 1006, 501806, 0
34.235673, 1.584166, 175281, 0, 5.3, 2, 3, 7, 1029, 43521, 0
35.759295, 1.523622, 145157, 0, 5.1, 2, 3, 7, 1005, 8542, 0
37.098018, 1.338723, 135945, 0, 5.3, 3, 4, 7, 1024, 31652, 0
38.250311, 1.152293, 158840, 0, 5.1, 2, 4, 8, 1004, 13692, 0
39.615982, 1.365671, 134754, 0, 5.2, 2, 4, 7, 1004, 14601, 0
40.809201, 1.193219, 169454, 0, 5.3, 2, 3, 7, 1004, 21546, 0
42.287109, 1.477908, 150319, 0, 5.3, 2, 4, 7, 1009, 20029, 0
43.62586, 1.338751, 154792, 1, 5.4, 3, 4, 7, 1037, 16645, 0
44.973463, 1.347603, 111717, 0, 5.1, 2, 4, 7, 1031, 7125, 0
45.997906, 1.024443, 137094, 0, 5.3, 2, 4, 8, 1020, 23367, 0
47.161944, 1.164038, 161541, 0, 4.9, 2, 4, 7, 950, 6898, 0
48.518043, 1.356099, 153923, 0, 5.1, 2, 4, 7, 949, 13818, 0
49.866184, 1.348141, 212323, 1, 7.3, 2, 4, 7, 1000, 491546, 0
51.660456, 1.794272, 142893, 0, 5.2, 2, 4, 7, 1006, 16324, 0
52.922917, 1.262461, 128172, 0, 5.1, 2, 4, 7, 1015, 18096, 0
54.010364, 1.087447, 147723, 0, 5.3, 2, 4, 7, 996, 32868, 0
55.277469, 1.267105, 144151, 1, 5.6, 2, 4, 7, 1022, 35787, 0
56.492597, 1.215128, 162975, 1, 4.9, 2, 3, 7, 870, 37877, 0
57.843419, 1.350822, 220619, 0, 5.2, 3, 4, 8, 1005, 33649, 0
59.784704, 1.941285, 170509, 0, 5.5, 2, 3, 7, 999, 24370, 0
61.277678, 1.492974, 126945, 0, 4.7, 2, 3, 7, 944, 12670, 0
62.409968, 1.13229, 119328, 1, 4.9, 2, 4, 7, 991, 1792, 0
63.424472, 1.014504, 159452, 0, 4.9, 2, 4, 7, 957, 43756, 0
64.800719, 1.376247, 189229, 0, 5.4, 2, 4, 7, 1015, 63825, 0
