elapsed, window, total, successful, failed
1.001344, 1.001344, 436354, 436354, 0
2.313831, 1.312487, 311342, 311342, 0
3.781928, 1.468097, 364753, 364753, 0
5.07242, 1.290492, 271093, 271093, 0
6.191901, 1.119481, 294290, 294290, 0
7.446698, 1.254797, 274487, 274487, 0
8.48548, 1.038782, 255542, 255542, 0
9.553911, 1.068431, 278699, 278699, 0
10.727801, 1.17389, 320045, 320045, 0
12.104812, 1.377011, 312200, 312200, 0
13.411502, 1.30669, 352101, 352101, 0
14.818936, 1.407434, 364812, 364812, 0
16.664733, 1.845797, 273337, 273337, 0
17.819005, 1.154272, 314625, 314625, 0
19.298566, 1.479561, 330210, 330210, 0
20.679, 1.380434, 326131, 326131, 0
21.919225, 1.240225, 396938, 396938, 0
23.575134, 1.655909, 346626, 346626, 0
25.217672, 1.642538, 276260, 276260, 0
26.496054, 1.278382, 307114, 307114, 0
27.673382, 1.177328, 300148, 300148, 0
28.968465, 1.295083, 262165, 262165, 0
30.066907, 1.098442, 271320, 271320, 0
31.281256, 1.214349, 320845, 320845, 0
32.651507, 1.370251, 375884, 375884, 0
34.235673, 1.584166, 335913, 335913, 0
35.759295, 1.523622, 332154, 332154, 0
37.098018, 1.338723, 249414, 249414, 0
38.250311, 1.152293, 310198, 310198, 0
39.615982, 1.365671, 298833, 298833, 0
40.809201, 1.193219, 325911, 325911, 0
42.287109, 1.477908, 287874, 287874, 0
43.62586, 1.338751, 327752, 327752, 0
44.973463, 1.347603, 235120, 235120, 0
45.997906, 1.024443, 258864, 258864, 0
47.161944, 1.164038, 305297, 305297, 0
48.518043, 1.356099, 331949, 331949, 0
49.866184, 1.348141, 382807, 382807, 0
51.660456, 1.794272, 325447, 325447, 0
52.922917, 1.262461, 257535, 257535, 0
54.010364, 1.087447, 277774, 277774, 0
55.277469, 1.267105, 314250, 314250, 0
56.492597, 1.215128, 318862, 318862, 0
57.843419, 1.350822, 403379, 403379, 0
59.784704, 1.941285, 371355, 371355, 0
61.277678, 1.492974, 277242, 277242, 0
62.409968, 1.13229, 236129, 236129, 0
63.424472, 1.014504, 300328, 300328, 0
64.800719, 1.376247, 353876, 353876, 0
66.424741, 1.624022, 273286, 273286, 0
67.481151, 1.05641, 250943, 250943, 0
68.642887, 1.161736, 314166, 314166, 0
70.137289, 1.494402, 311175, 311175, 0
71.635876, 1.498587, 361095, 361095, 0
73.02216, 1.386284, 255743, 255743, 0
74.18445, 1.16229, 309607, 309607, 0
75.553573, 1.369123, 329251, 329251, 0
76.880324, 1.326751, 370990, 370990, 0
78.546122, 1.665798, 289707, 289707, 0
79.630479, 1.084357, 341160, 341160, 0
81.132445, 1.501966, 277101, 277101, 0
82.358925, 1.22648, 247084, 247084, 0
83.3518, 0.992875, 267841, 267841, 0
84.558471, 1.206671, 303635, 303635, 0
85.853537, 1.295066, 344608, 344608, 0
87.478215, 1.624678, 306958, 306958, 0
88.636464, 1.158249, 335431, 335431, 0
90.143274, 1.50681, 287299, 287299, 0
91.302843, 1.159569, 303835, 303835, 0
92.717612, 1.414769, 326342, 326342, 0
94.022576, 1.304964, 295263, 295263, 0
95.336911, 1.314335, 299772, 299772, 0
96.53101, 1.194099, 263823, 263823, 0
97.744647, 1.213637, 358057, 358057, 0
99.470652, 1.726005, 286328, 286328, 0
100.611921, 1.141269, 362641, 362641, 0
102.351471, 1.73955, 240137, 240137, 0
103.284331, 0.93286, 259414, 259414, 0
104.688988, 1.404657, 301995, 301995, 0
105.968605, 1.279617, 215295, 215295, 0
106.894635, 0.92603, 362515, 362515, 0
108.560095, 1.66546, 307264, 307264, 0
109.738928, 1.178833, 329606, 329606, 0
111.234432, 1.495504, 280023, 280023, 0
112.51388, 1.279448, 295547, 295547, 0
113.765393, 1.251513, 323166, 323166, 0
115.322055, 1.556662, 294457, 294457, 0
116.592997, 1.270942, 328870, 328870, 0
117.98373, 1.390733, 243043, 243043, 0
119.059059, 1.075329, 260261, 260261, 0
120.222804, 1.163745, 268648, 268648, 0
121.534353, 1.311549, 278568, 278568, 0
122.592192, 1.057839, 280225, 280225, 0
123.873591, 1.281399, 339055, 339055, 0
125.511766, 1.638175, 284586, 284586, 0
126.695353, 1.183587, 300441, 300441, 0
128.066608, 1.371255, 267028, 267028, 0
129.233326, 1.166718, 328014, 328014, 0
130.760304, 1.526978, 420797, 420797, 0
132.5273, 1.766996, 333676, 333676, 0
133.907924, 1.380624, 362859, 362859, 0
135.581258, 1.673334, 299555, 299555, 0
136.781349, 1.200091, 326452, 326452, 0
138.311409, 1.53006, 303507, 303507, 0
139.759508, 1.448099, 364179, 364179, 0
141.236574, 1.477066, 287462, 287462, 0
142.391267, 1.154693, 272626, 272626, 0
143.651998, 1.260731, 362697, 362697, 0
145.380942, 1.728944, 283859, 283859, 0
146.438974, 1.058032, 267006, 267006, 0
147.613567, 1.174593, 299152, 299152, 0
148.97562, 1.362053, 218221, 218221, 0
149.913956, 0.938336, 367600, 367600, 0
151.515287, 1.601331, 224929, 224929, 0
152.54955, 1.034263, 222139, 222139, 0
153.573865, 1.024315, 254753, 254753, 0
154.737266, 1.163401, 287193, 287193, 0
156.007467, 1.270201, 264030, 264030, 0
157.201508, 1.194041, 286252, 286252, 0
158.528861, 1.327353, 308411, 308411, 0
159.770946, 1.242085, 389845, 389845, 0
161.662953, 1.892007, 337600, 337600, 0
162.997156, 1.334203, 267206, 267206, 0
164.187305, 1.190149, 265504, 265504, 0
165.403071, 1.215766, 277691, 277691, 0
166.484599, 1.081528, 271458, 271458, 0
167.665235, 1.180636, 302718, 302718, 0
169.037487, 1.372252, 277413, 277413, 0
170.330846, 1.293359, 271674, 271674, 0
171.452665, 1.121819, 267547, 267547, 0
172.701495, 1.24883, 312253, 312253, 0
174.236414, 1.534919, 305186, 305186, 0
175.424379, 1.187965, 279175, 279175, 0
176.631157, 1.206778, 283042, 283042, 0
177.974837, 1.34368, 236505, 236505, 0
179.048216, 1.073379, 257404, 257404, 0
180.216154, 1.167938, 285538, 285538, 0
181.554426, 1.338272, 81020, 81020, 0
182.159013, 0.604587, 0, 0, 0
